"","Row","Column","Block","Population","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg"
"57",2,36,"2","49","4","3",1063.1054,"8/10/2020","8/21/2020","Sophie",NA,1068.79,5.6846
"58",2,37,"2","17","2","4",1064.1071,"8/10/2020","8/21/2020","Sophie",NA,1069.1,4.9929
"59",2,38,"2","6","1","3",1083.067,"8/10/2020","8/21/2020","Sophie",NA,1093.55,10.483
"60",2,39,"2","77","2","2",1072.1726,"8/10/2020","8/21/2020","Sophie",NA,1093.47,21.2974
"61",2,40,"2","47","2","4",1078.236,"8/10/2020","8/21/2020","Sophie",NA,1084.27,6.034
"62",2,41,"2","64","1","3",1071.2301,"8/10/2020","8/21/2020","Sophie",NA,1081.66,10.4299
"63",2,42,"2","57","5","1",1069.9822,"8/10/2020","8/21/2020","Sophie",NA,1073.78,3.7978
"64",2,43,"2","57","1","4",1071.7059,"8/10/2020","8/21/2020","Sophie",NA,1074.32,2.6141
"65",2,44,"2","15","2","3",1058.7007,"8/10/2020","8/21/2020","Sophie",NA,1064.19,5.4893
"66",2,45,"2","79","5","2",1063.9587,"8/10/2020","8/21/2020","Sophie",NA,1073.44,9.4813
"67",2,46,"2","17","5","4",1058.4949,"8/10/2020","8/21/2020","Sophie",NA,1066.9,8.4051
"68",3,1,"1","12","5","1",1072.6063,"8/10/2020","8/21/2020","Sophie",NA,1088.17,15.5637
"69",3,2,"1","68","3","4",1064.664,"8/10/2020","8/21/2020","Sophie",NA,1078.98,14.316
"70",3,3,"1","14","5","1",1062.7433,"8/10/2020","8/21/2020","Sophie",NA,1071.91,9.1667
"71",3,4,"1","9","2","2",1062.7788,"8/10/2020","8/21/2020","Sophie",NA,1068.39,5.6112
"72",3,5,"1","13","5","5",1068.7317,"8/10/2020","8/21/2020","Sophie",NA,1091.2,22.4683
"73",3,6,"1","1","1","2",1072.7968,"8/10/2020","8/21/2020","Sophie",NA,1081.85,9.0532
"74",3,7,"1","68","3","5",1064.1425,"8/10/2020","8/21/2020","Sophie",NA,1072.65,8.5075
"75",3,8,"1","15","4","1",1064.3933,"8/10/2020","8/21/2020","Sophie",NA,1070.59,6.1967
"76",3,11,"1","49","3","4",1060.1002,"8/10/2020","8/21/2020","Sophie",NA,1064.91,4.8098
"77",3,12,"1","15","2","4",1082.4112,"8/10/2020","8/21/2020","Sophie",NA,1090.49,8.0788
"78",3,13,"1","39","2","2",1067.1947,"8/10/2020","8/21/2020","Sophie",NA,1073.28,6.0853
"79",3,14,"1","2","2","5",1069.0904,"8/10/2020","8/21/2020","Sophie",NA,1076.76,7.6696
"80",3,15,"1","64","3","2",1083.4011,"8/10/2020","8/21/2020","Sophie",NA,1087.38,3.9789
"81",3,16,"1","31","2","2",1061.3345,"8/10/2020","8/21/2020","Sophie",NA,1070.93,9.5955
"82",3,17,"1","8","2","5",1062.9404,"8/10/2020","8/21/2020","Sophie",NA,1074.19,11.2496
"83",3,18,"1","17","1","1",1067.0136,"8/10/2020","8/21/2020","Sophie",NA,1078.84,11.8264
"84",3,19,"1","18","1","4",1062.0819,"8/10/2020","8/21/2020","Sophie",NA,1077.01,14.9281
"85",3,20,"1","36","2","2",1079.2751,"8/10/2020","8/21/2020","Sophie",NA,1083.4,4.1249
"86",3,21,"1","7","3","1",1080.5774,"8/10/2020","8/21/2020","Sophie",NA,1087.59,7.0126
"87",3,22,"1","69","2","1",1067.5235,"8/10/2020","8/21/2020","Sophie",NA,1076.05,8.5265
"88",3,23,"1","30","5","4",1077.0782,"8/10/2020","8/21/2020","Sophie",NA,1085.6,8.5218
"89",3,24,"2","4","4","5",1067.0565,"8/10/2020","8/21/2020","Sophie",NA,1087.72,20.6635
"90",3,25,"2","16","3","4",1068.2994,"8/10/2020","8/21/2020","Sophie",NA,1072.94,4.6406
"91",3,26,"2","62","3","1",1066.3429,"8/10/2020","8/21/2020","Sophie",NA,1071.58,5.2371
"92",3,27,"2","39","4","2",1071.5776,"8/10/2020","8/21/2020","Sophie",NA,1081.21,9.6324
"93",3,28,"2","77","3","2",1056.322,"8/10/2020","8/21/2020","Sophie",NA,1079.35,23.028
"94",3,29,"2","4","4","4",1066.7028,"8/10/2020","8/19/2020","Sophie",NA,1071.98,5.2772
"95",3,30,"2","72","1","3",1082.7313,"8/10/2020","8/19/2020","Sophie",NA,1088.55,5.8187
"96",3,31,"2","56","4","4",1061.675,"8/10/2020","8/19/2020","Sophie",NA,1070.82,9.145
"97",3,33,"2","21","2","5",1080.8294,"8/10/2020","8/19/2020","Sophie",NA,1094.83,14.0006
"98",3,34,"2","31","1","3",1080.5224,"8/10/2020","8/19/2020","Sophie",NA,1096.32,15.7976
"99",3,35,"2","77","5","5",1069.1047,"8/10/2020","8/19/2020","Sophie",NA,1092.69,23.5853
"100",3,36,"2","72","2","3",1069.7067,"8/10/2020","8/19/2020","Sophie",NA,1073.73,4.0233
"101",3,37,"2","56","2","1",1067.221,"8/10/2020","8/19/2020","Sophie",NA,1071.75,4.529
"102",3,38,"2","46","2","3",1072.2884,"8/10/2020","8/19/2020","Sophie",NA,1082.64,10.3516
"103",3,39,"2","49","5","3",1068.3009,"8/10/2020","8/19/2020","Sophie",NA,1077.41,9.1091
"104",3,40,"2","12","5","3",1078.8292,"8/10/2020","8/19/2020","Sophie",NA,1090.02,11.1908
"105",3,41,"2","67","4","3",1086.4242,"8/10/2020","8/19/2020","Sophie",NA,1104.07,17.6458
"106",3,42,"2","46","2","2",1079.2771,"8/10/2020","8/19/2020","Sophie",NA,1087.62,8.3429
"107",3,43,"2","40","5","2",1080.2917,"8/10/2020","8/19/2020","Sophie",NA,1085.08,4.7883
"108",3,44,"2","67","2","5",1065.9132,"8/10/2020","8/19/2020","Sophie",NA,1077.92,12.0068
"109",3,45,"2","1","1","5",1081.6766,"8/10/2020","8/19/2020","Sophie",NA,1088.97,7.2934
"110",3,46,"2","19","1","1",1063.8014,"8/10/2020","8/19/2020","Sophie",NA,1075.51,11.7086
"111",4,1,"1","21","4","1",1060.4556,"8/10/2020","8/19/2020","Sophie",NA,1078.5,18.0444
"112",4,2,"1","79","2","1",1067.5208,"8/10/2020","8/19/2020","Sophie",NA,1074.22,6.6992
"113",4,3,"1","12","4","1",1081.7845,"8/10/2020","8/19/2020","Sophie",NA,1087.72,5.9355
"114",4,5,"1","47","1","1",1069.1694,"8/10/2020","8/19/2020","Sophie",NA,1080.16,10.9906
"115",4,6,"1","21","2","3",1061.2767,"8/10/2020","8/19/2020","Sophie",NA,1086.32,25.0433
"116",4,7,"1","1","2","1",1071.2503,"8/10/2020","8/19/2020","Sophie",NA,1077,5.7497
"117",4,8,"1","1","2","2",1064.9348,"8/10/2020","8/19/2020","Sophie",NA,1070.08,5.1452
"118",4,9,"1","30","4","3",1066.4935,"8/10/2020","8/19/2020","Sophie",NA,1072.2,5.7065
"119",4,11,"1","1","4","1",1069.0673,"8/10/2020","8/19/2020","Sophie",NA,1073.04,3.9727
"120",4,13,"1","17","4","4",1082.2992,"8/10/2020","8/19/2020","Sophie",NA,1087.17,4.8708
"121",4,14,"1","79","4","4",1071.9931,"8/10/2020","8/19/2020","Sophie",NA,1078.51,6.5169
"122",4,15,"1","36","2","1",1080.1766,"8/10/2020","8/19/2020","Sophie",NA,1084.86,4.6834
"123",4,16,"1","4","1","1",1068.2441,"8/10/2020","8/19/2020","Sophie",NA,1073.87,5.6259
"124",4,17,"1","56","4","2",1059.4888,"8/10/2020","8/19/2020","Sophie",NA,1064.01,4.5212
"125",4,18,"1","67","1","4",1064.6028,"8/10/2020","8/19/2020","Sophie",NA,1070.13,5.5272
"126",4,19,"1","2","3","1",1072.4667,"8/10/2020","8/19/2020","Sophie",NA,1075.9,3.4333
"127",4,20,"1","8","1","1",1078.5538,"8/10/2020","8/19/2020","Sophie",NA,1087.01,8.4562
"128",4,21,"1","72","5","5",1075.8115,"8/10/2020","8/19/2020","Sophie",NA,1078.74,2.9285
"129",4,23,"1","74","2","5",1085.3711,"8/10/2020","8/19/2020","Sophie",NA,1088.65,3.2789
"130",4,25,"2","15","2","5",1066.2703,"8/10/2020","8/19/2020","Sophie",NA,1078.49,12.2197
"131",4,26,"2","56","2","3",1075.1854,"8/10/2020","8/19/2020","Sophie",NA,1078.76,3.5746
"132",4,27,"2","32","1","2",1081.0161,"8/10/2020","8/19/2020","Sophie",NA,1089.31,8.2939
"133",4,28,"2","68","4","3",1063.3488,"8/10/2020","8/19/2020","Sophie",NA,1084.04,20.6912
"134",4,29,"2","23","1","2",1080.0248,"8/10/2020","8/19/2020","Sophie",NA,1095.45,15.4252
"135",4,30,"2","4","1","4",1073.4954,"8/10/2020","8/19/2020","Sophie",NA,1081.7,8.2046
"136",4,31,"2","6","3","1",1071.1651,"8/10/2020","8/19/2020","Sophie",NA,1075.99,4.8249
"137",4,32,"2","72","5","3",1061.5531,"8/10/2020","8/19/2020","Sophie",NA,1073.72,12.1669
"138",4,33,"2","4","3","2",1058.4032,"8/10/2020","8/19/2020","Sophie",NA,1066.19,7.7868
"139",4,34,"2","51","4","3",1068.0307,"8/10/2020","8/19/2020","Sophie",NA,1077.06,9.0293
"140",4,36,"2","7","5","5",1070.3437,"8/10/2020","8/19/2020","Sophie",NA,1078.1,7.7563
"141",4,37,"2","36","5","3",1062.9049,"8/10/2020","8/19/2020","Sophie",NA,1070.66,7.7551
"142",4,38,"2","40","5","3",1067.4603,"8/10/2020","8/19/2020","Sophie",NA,1082.18,14.7197
"143",4,39,"2","18","1","1",1061.1418,"8/10/2020","8/19/2020","Sophie",NA,1067.24,6.0982
"144",4,40,"2","36","1","4",1062.21,"8/10/2020","8/19/2020","Sophie",NA,1079.11,16.9
"145",4,41,"2","36","1","5",1062.8369,"8/10/2020","8/19/2020","Sophie",NA,1071.79,8.9531
