Row,Column,Block,Population,Family,Replicate,Comment,Date_oldest_inflor_flower,Date_youngest_inflor_flower,Date_first_follicle_2in,Pods,Peduncles,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
6,19,1,19,5,2,,7/8/2022,7/27/2022,8/12/2022,4,12,10,2.56,2.29,7.11,4.62,9.26,9.24,1,2.78,2.16,7.03,4.28,9.33,9.15,0,2.48,2.17,7.51,4.02,9.37,9.8,0,18,2.72,2.18,6.76,4.03,7.79,7.62,0,2.84,2.2,6.58,3.86,7.85,7.43,2,3.03,1.87,6.57,4.01,7.88,7.62,1,,,,,,,,,,,,,,,,,,,,,,
6,20,1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,21,1,29,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,1,79,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23,2,21,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24,2,77,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25,2,72,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26,2,1,1,3,,6/29/2022,7/8/2022,7/27/2022,2,7,41,2.59,1.78,6.88,3.06,7.88,7.72,1,2.63,1.85,7.06,3.11,8.06,7.95,0,2.75,1.74,7.13,3.51,8.14,7.96,0,14,2.33,2.13,6.48,3.41,6.46,6.33,0,2.63,2.1,7.06,3.24,7.11,6.98,0,2.61,2.04,6.58,3.15,7.03,6.84,1,18,2.51,1.82,6.31,3.48,7.03,6.84,0,2.62,1.74,6.52,3.26,7.44,7.12,1,2.84,2.03,6.85,3.16,7.33,7.14,1
6,27,2,5,5,3,,6/29/2022,7/8/2022,7/27/2022,1,6,64,4.26,1.93,9.26,4.7,10.39,10.36,1,4.14,2.16,8.72,3.98,8.81,8.36,0,4.18,2.36,8.67,3.55,8.36,7.91,0,49,3.23,1.94,8.53,3.58,8.07,8.21,0,4.26,2.03,8.78,3.35,8.67,7.96,2,4.67,2.03,8.86,3.21,8.23,7.96,1,34,3.77,2.19,8.97,4.23,10.14,10.21,4,4.11,1.92,8.64,3.47,8.65,8.94,0,4.25,2.09,7.95,3.47,8.65,8.71,2
6,28,2,36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
