"","monarch_mods.City_gr.R2m","monarch_mods.City_gr.R2c","monarch_mods.Usc_gr.R2m","monarch_mods.Usc_gr.R2c","monarch_mods.City_urbsubs_alt.R2m","monarch_mods.City_urbsubs_alt.R2c","monarch_mods.City_urbsubs_best.R2m","monarch_mods.City_urbsubs_best.R2c","monarch_mods.Usc_urbsubs_alt.R2m","monarch_mods.Usc_urbsubs_alt.R2c","monarch_mods.Usc_urbsubs_best.R2m","monarch_mods.Usc_urbsubs_best.R2c","asclepiadis_mods.City_gr.R2m","asclepiadis_mods.City_gr.R2c","asclepiadis_mods.Usc_gr.R2m","asclepiadis_mods.Usc_gr.R2c","asclepiadis_mods.City_urbsubs_alt.R2m","asclepiadis_mods.City_urbsubs_alt.R2c","asclepiadis_mods.City_urbsubs_best.R2m","asclepiadis_mods.City_urbsubs_best.R2c","asclepiadis_mods.Usc_urbsubs_alt.R2m","asclepiadis_mods.Usc_urbsubs_alt.R2c","asclepiadis_mods.Usc_urbsubs_best.R2m","asclepiadis_mods.Usc_urbsubs_best.R2c","clivicollis_mods.City_gr.R2m","clivicollis_mods.City_gr.R2c","clivicollis_mods.Usc_gr.R2m","clivicollis_mods.Usc_gr.R2c","clivicollis_mods.City_urbsubs_best.R2m","clivicollis_mods.City_urbsubs_best.R2c","clivicollis_mods.City_urbsubs_alt.R2m","clivicollis_mods.City_urbsubs_alt.R2c","clivicollis_mods.Usc_urbsubs_alt.R2m","clivicollis_mods.Usc_urbsubs_alt.R2c","clivicollis_mods.Usc_urbsubs_best.R2m","clivicollis_mods.Usc_urbsubs_best.R2c"
"delta",0.0853038309819707,0.0910572783920078,0.0852245809105648,0.090902845172866,0.0885828193879181,0.088844607173077,0.0885100761682116,0.0892626814014044,0.0869392710918578,0.0881465497839573,0.0864827844810747,0.0877832773050652,0.3155307012972,0.366861859307189,0.315455726366331,0.366773605104578,0.328853178555832,0.393375091870493,0.328508922763167,0.392915654492574,0.328674911213016,0.392306681655342,0.328439415655707,0.39271217061019,0.00914822526662728,0.0107232697591008,0.00933214977959794,0.0104237288384037,0.0201706583921767,0.0215526801495142,0.0184827964222057,0.0206508606226037,0.0196409586199804,0.0212539699104921,0.0189475331179295,0.0218788098664301
"lognormal",0.182364675184306,0.19466453975127,0.182238937097499,0.19438098382468,0.190346684627681,0.190909213990884,0.190060431583862,0.191676524142194,0.187024728709004,0.189621840083764,0.18621311161972,0.189013308408566,0.417220769364116,0.485095068597858,0.4171438786667,0.485004238116825,0.425699123650447,0.509222482235342,0.42536622171589,0.508762580933072,0.425723088394345,0.508143476773639,0.425318239341941,0.508549342771843,0.0971682361792719,0.113897633497005,0.0995751336473017,0.111222410344983,0.198442294535857,0.212038854612989,0.183435408401031,0.20495270118265,0.197317903584431,0.213522611942098,0.187062714011796,0.216002237731395
"trigamma",0.0224415435875569,0.0239551478342214,0.0224156710362067,0.0239091615573741,0.023146883515617,0.0232152892336869,0.0231434094295417,0.0233401989003528,0.0226929597472052,0.0230080846202275,0.0225453469519107,0.0228843746798137,0.191846948568245,0.223056989271749,0.19178661427274,0.222986181731021,0.207628998039985,0.248366388117762,0.207330490966736,0.24797924777584,0.207337675487177,0.247478443524366,0.207261015512957,0.247820204899794,0.000202859814376824,0.00023778606772828,0.000206364682799191,0.000230503104442741,0.000434479038933789,0.000464247997052998,0.000397380626463052,0.00044399406581962,0.00041010074282466,0.000443780215462542,0.000403816692632455,0.00046628912502788
