"","monarch_mods.City_gr.R2m","monarch_mods.City_gr.R2c","monarch_mods.Usc_gr.R2m","monarch_mods.Usc_gr.R2c","monarch_mods.City_urbsubs_alt.R2m","monarch_mods.City_urbsubs_alt.R2c","monarch_mods.City_urbsubs_best.R2m","monarch_mods.City_urbsubs_best.R2c","monarch_mods.Usc_urbsubs_alt.R2m","monarch_mods.Usc_urbsubs_alt.R2c","monarch_mods.Usc_urbsubs_best.R2m","monarch_mods.Usc_urbsubs_best.R2c","asclepiadis_mods.City_gr.R2m","asclepiadis_mods.City_gr.R2c","asclepiadis_mods.Usc_gr.R2m","asclepiadis_mods.Usc_gr.R2c","asclepiadis_mods.City_urbsubs_alt.R2m","asclepiadis_mods.City_urbsubs_alt.R2c","asclepiadis_mods.City_urbsubs_best.R2m","asclepiadis_mods.City_urbsubs_best.R2c","asclepiadis_mods.Usc_urbsubs_alt.R2m","asclepiadis_mods.Usc_urbsubs_alt.R2c","asclepiadis_mods.Usc_urbsubs_best.R2m","asclepiadis_mods.Usc_urbsubs_best.R2c","clivicollis_mods.City_gr.R2m","clivicollis_mods.City_gr.R2c","clivicollis_mods.Usc_gr.R2m","clivicollis_mods.Usc_gr.R2c","clivicollis_mods.City_urbsubs_alt.R2m","clivicollis_mods.City_urbsubs_alt.R2c","clivicollis_mods.City_urbsubs_best.R2m","clivicollis_mods.City_urbsubs_best.R2c","clivicollis_mods.Usc_urbsubs_alt.R2m","clivicollis_mods.Usc_urbsubs_alt.R2c","clivicollis_mods.Usc_urbsubs_best.R2m","clivicollis_mods.Usc_urbsubs_best.R2c"
"delta",2.20455333621069e-05,2.70237233427785e-05,2.2163741592796e-05,2.69450700124552e-05,1.27994615639153e-17,1.27994637377958e-17,1.07087207036081e-16,1.0708736946984e-16,2.17546381951608e-17,2.17547344663153e-17,2.74010405627314e-16,2.74011094024516e-16,0.249766404273089,0.282382165440175,0.249767447207945,0.282369736006428,0.231163278511251,0.272353381074702,0.231289508877172,0.271280817752311,0.23144673486757,0.271837388719186,0.231319390333845,0.27119949149703,0.0123725138569836,0.0258306337503667,0.0132744510151147,0.0248307181844533,0.0275887798501401,0.0479298503461439,0.0256185400642296,0.047079178108413,0.0239572957918135,0.0501860611129967,0.0237588820296736,0.0496722945543199
"lognormal",0.00492587319181729,0.00603820430065377,0.00492401048924009,0.00598625492988796,0.000708346686410494,0.000708346806717202,0.000277764820660912,0.000277765241984664,0.000554617315400411,0.000554619769757446,0.000514180004183536,0.000514181295959574,0.360417995392872,0.407483201349076,0.360408374934024,0.407452687779199,0.345716907941202,0.407318884638051,0.34605178064745,0.405886157545252,0.346119954499784,0.406522669972685,0.346132988439941,0.405807270716832,0.0988487371811847,0.206370795484881,0.10812068658439,0.202246729106137,0.170036772470183,0.29540404113942,0.157662142048781,0.289735638637443,0.141478334895025,0.296370693207911,0.140913635168937,0.294605764029192
"trigamma",1.32175223121502e-08,1.62022238416106e-08,1.3377429684245e-08,1.62633090590552e-08,6.56458167884538e-33,6.56458279378419e-33,1.2877308505061e-30,1.28773280378294e-30,2.478596478051e-32,2.47860744662435e-32,4.60142358264417e-30,4.60143514281507e-30,0.129522330889426,0.146436012384696,0.129534623825894,0.146442852910923,0.110313101076312,0.129969371642679,0.110377863196759,0.129462841333072,0.11052716128884,0.129815678430262,0.110371149463063,0.129399440172853,0.000360118029120366,0.000751834026992139,0.000378086570088655,0.000707235354630355,0.00102881813545517,0.0017873606420298,0.000966024226763264,0.00177526223253961,0.000951875912048641,0.00199400229095917,0.000940396670958192,0.00196607148347287
