"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"30","MW002",2,2,34,2,4,3,1074.0989,"8/10/2020","8/21/2020","Sophie",NA,1088.53,14.4311,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"31","MW002",2,20,44,4,3,5,1074.1008,"8/12/2020","8/13/2020","Sophie",NA,1076.62,2.5192,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"32","MW002",2,20,1,3,3,4,1069.3902,"8/12/2020","8/13/2020","Sophie",NA,1074.42,5.0298,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"33","MW002",2,4,19,1,3,1,1072.4667,"8/10/2020","8/19/2020","Sophie",NA,1075.9,3.4333,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"34","MW002",2,18,6,3,3,3,1066.4013,"8/12/2020","8/14/2020","Sophie",NA,NA,-1066.4013,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"35","MW002",2,11,20,1,4,5,1073.7244,"8/11/2020","8/17/2020","Sophie",NA,1081.43,7.7056,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"36","MW002",2,19,1,3,2,1,1070.2873,"8/12/2020","8/14/2020","Sophie",NA,NA,-1070.2873,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"37","MW002",2,4,42,2,2,2,1058.5399,"8/10/2020","8/19/2020","Sophie",NA,1064.7,6.1601,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"38","MW002",2,20,34,4,5,2,1057.9317,"8/12/2020","8/13/2020","Sophie",NA,1061.36,3.4283,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"39","MW002",2,16,28,4,4,2,1059.6453,"8/11/2020","8/15/2020","Sophie",NA,1071.41,11.7647,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"40","MW002",2,21,4,3,1,4,1056.7931,"8/12/2020","8/13/2020","Sophie",NA,1064.1,7.3069,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"41","MW002",2,16,41,4,4,1,1069.7137,"8/12/2020","8/15/2020","Sophie",NA,1076.42,6.7063,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"42","MW002",2,3,14,1,2,5,1069.0904,"8/10/2020","8/21/2020","Sophie",NA,1076.76,7.6696,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"43","MW002",2,14,31,4,1,3,1078.8583,"8/11/2020","8/15/2020","Sophie",NA,1081.05,2.1917,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"44","MW003",3,21,38,4,3,3,1062.868,"8/12/2020","8/13/2020","Sophie",NA,1070.47,7.602,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"45","MW003",3,5,11,1,2,4,1067.7851,"8/10/2020","8/19/2020","Sophie",NA,1070.57,2.7849,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
