"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Dead_June","Comment_June","Dead_Sept","Comment_Sept","dead_2020","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score.x","Urb_score.y"
"34","MW002",2,20,1,3,3,4,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"35","MW002",2,18,6,3,3,3,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"36","MW002",2,19,1,3,2,1,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"37","MW002",2,14,31,4,1,3,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"38","MW002",2,7,45,2,5,4,"0","",1,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"39","MW002",2,11,20,1,4,5,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"40","MW002",2,18,46,4,2,4,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"41","MW002",2,11,9,1,1,2,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"42","MW002",2,4,42,2,2,2,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"43","MW002",2,5,41,2,1,5,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"44","MW002",2,21,4,3,1,4,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
