"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Weevil_dam_binary","Total_Height_June","Scar_length_cm","scar_div_Juneheight","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"1","MW001",1,17,46,4,4,4,0,49.4,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"2","MW001",1,10,5,1,5,2,0,91.7,1.352,0.0147437295528899,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"3","MW001",1,6,35,2,3,4,0,69.2,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"4","MW001",1,11,18,1,2,4,1,33.6,1.714,0.0510119047619048,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"5","MW001",1,3,45,2,1,5,1,52.4,5.343,0.101965648854962,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"6","MW001",1,20,11,3,5,4,1,26.8,20.091,0.749664179104478,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"7","MW001",1,13,27,4,2,3,1,18.6,7.975,0.428763440860215,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"8","MW001",1,13,43,4,3,1,0,0,0,NA,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"9","MW001",1,20,15,3,3,3,1,11.5,2.192,0.190608695652174,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"10","MW001",1,19,31,4,4,2,1,10.5,3.641,0.346761904761905,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"11","MW001",1,15,16,3,5,5,0,24,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"12","MW001",1,9,46,2,1,4,1,61.1,7.434,0.121669394435352,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"13","MW001",1,13,31,4,2,5,1,40,1.714,0.04285,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"14","MW001",1,4,7,1,2,1,0,52.5,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"15","MW001",1,12,2,3,3,2,0,67.2,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"16","MW001",1,4,11,1,4,1,0,38.3,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"17","MW001",1,6,38,2,4,5,0,15.5,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"18","MW001",1,6,26,2,1,3,1,57.3,2.034,0.0354973821989529,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"19","MW001",1,9,5,1,4,3,1,30.7,4.091,0.133257328990228,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"20","MW001",1,19,27,4,5,1,1,17,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"21","MW001",1,4,43,2,3,5,0,32.6,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"22","MW001",1,3,6,1,1,2,0,12.8,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"23","MW001",1,7,37,2,1,1,0,113.8,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"24","MW001",1,16,23,3,5,3,1,54.5,4.547,0.0834311926605504,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"25","MW001",1,4,8,1,2,2,0,30.7,0,0,1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"26","MW002",2,20,34,4,5,2,0,16.6,4.567,0.275120481927711,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"27","MW002",2,19,1,3,2,1,0,104.3,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"28","MW002",2,16,24,3,3,2,0,4.9,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"29","MW002",2,20,1,3,3,4,1,65.3,0.56,0.00857580398162328,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"30","MW002",2,11,9,1,1,2,1,42.8,9.486,0.221635514018692,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"31","MW002",2,21,13,3,4,4,0,0,0,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"32","MW002",2,20,44,4,3,5,1,50.5,11.205,0.221881188118812,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"33","MW002",2,16,41,4,4,1,1,37.6,5.254,0.139734042553191,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"34","MW002",2,3,10,1,5,3,0,16.3,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"35","MW002",2,2,12,1,1,1,0,36.5,1.002,0.0274520547945205,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"36","MW002",2,14,31,4,1,3,1,65.8,3.013,0.045790273556231,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"37","MW002",2,3,14,1,2,5,0,64.6,0.526,0.00814241486068112,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"38","MW002",2,5,41,2,1,5,0,20.3,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"39","MW002",2,7,45,2,5,4,1,30.6,0.106,0.0034640522875817,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"40","MW002",2,2,34,2,4,3,0,45.7,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"41","MW002",2,18,46,4,2,4,0,21.5,1.096,0.0509767441860465,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"42","MW002",2,19,16,3,5,1,0,0,0,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"43","MW002",2,4,42,2,2,2,1,99.9,28.841,0.288698698698699,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"44","MW002",2,11,20,1,4,5,1,18.5,5.023,0.271513513513513,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"45","MW002",2,18,6,3,3,3,0,26.7,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"46","MW002",2,2,28,2,5,5,0,58.6,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"47","MW002",2,6,3,1,2,3,0,26.8,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"48","MW002",2,16,28,4,4,2,1,34.8,2.669,0.0766954022988506,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"49","MW002",2,21,4,3,1,4,0,46.6,0,0,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"50","MW002",2,4,19,1,3,1,1,26.3,2.713,0.103155893536122,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"51","MW003",3,20,3,3,3,2,0,8.4,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"52","MW003",3,21,38,4,3,3,1,21.6,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"53","MW003",3,17,7,3,4,5,1,59.9,32.148,0.53669449081803,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"54","MW003",3,6,20,1,5,1,0,14.2,1.519,0.106971830985915,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"55","MW003",3,10,26,2,5,4,1,56.5,5.554,0.0983008849557522,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"56","MW003",3,16,37,4,3,1,0,17.4,1.349,0.0775287356321839,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"57","MW003",3,20,13,3,4,4,1,151.4,21.196,0.14,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"58","MW003",3,21,12,3,1,2,0,0,0,NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"59","MW003",3,9,9,1,2,2,0,24.7,0.804,0.0325506072874494,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"60","MW003",3,15,44,4,2,1,0,5.6,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"61","MW003",3,7,1,1,2,5,1,39.5,5.808,0.147037974683544,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"62","MW003",3,18,41,4,5,5,1,22.1,1.293,0.0585067873303167,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"63","MW003",3,5,11,1,2,4,1,19.7,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"64","MW003",3,18,45,4,1,1,1,19.5,4.079,0.209179487179487,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"65","MW003",3,15,42,4,3,4,0,12.1,0.555,0.0458677685950413,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"66","MW003",3,1,22,1,3,5,0,40.7,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"67","MW003",3,20,40,4,5,3,0,16.1,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"68","MW003",3,11,2,1,4,1,1,60.6,10.217,0.168597359735974,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"69","MW003",3,16,43,4,2,3,1,27.8,1.669,0.0600359712230216,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"70","MW003",3,21,43,4,4,2,1,51,2.115,0.0414705882352941,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"71","MW003",3,18,10,3,5,2,1,39.4,5.396,0.136954314720812,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"72","MW003",3,5,23,2,4,3,0,20.6,0,0,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"73","MW004",4,4,30,2,1,4,1,61.6,4.276,0.0694155844155844,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"74","MW004",4,6,42,2,3,4,0,0,0,NA,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"75","MW004",4,9,2,1,3,1,0,41.7,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"76","MW004",4,11,30,4,4,1,1,33.2,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"77","MW004",4,11,37,4,2,1,0,4.2,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"78","MW004",4,8,24,2,2,2,0,16.6,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"79","MW004",4,19,4,3,2,5,0,21.9,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"80","MW004",4,2,35,2,1,2,0,49.9,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"81","MW004",4,21,31,4,5,3,0,0,0,NA,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"82","MW004",4,15,33,4,5,1,1,30.7,22.485,0.732410423452769,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"83","MW004",4,3,29,2,4,4,1,53,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"84","MW004",4,15,1,3,5,4,1,56.8,13.213,0.23262323943662,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"85","MW004",4,16,18,3,5,5,0,0,0,NA,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"86","MW004",4,14,6,3,1,5,0,27.4,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"87","MW004",4,16,20,3,2,3,1,23.6,5.15,0.218220338983051,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"88","MW004",4,5,8,1,5,2,0,49.5,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"89","MW004",4,8,32,2,3,3,1,21,2.659,0.126619047619048,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"90","MW004",4,1,42,2,1,3,0,20.1,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"91","MW004",4,4,33,2,3,2,0,44.2,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"92","MW004",4,18,9,3,4,3,0,21.8,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"93","MW004",4,3,9,1,3,5,1,19.1,0.494,0.0258638743455497,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"94","MW004",4,7,12,1,4,2,1,16.8,1.977,0.117678571428571,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"95","MW004",4,11,21,1,2,4,0,12,0,0,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"96","MW004",4,4,16,1,1,1,1,54.9,3.238,0.0589799635701275,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"97","MW004",4,3,24,2,4,5,1,63.2,1.732,0.0274050632911392,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"98","MW005",5,14,34,4,4,3,1,38.5,4.538,0.11787012987013,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"99","MW005",5,7,18,1,3,2,1,33.8,3.008,0.0889940828402367,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"100","MW005",5,10,42,4,4,4,0,32.4,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"101","MW005",5,13,39,4,1,3,1,24.5,6.606,0.269632653061224,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"102","MW005",5,17,44,4,4,2,0,7.4,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"103","MW005",5,18,32,4,3,3,1,28,1.012,0.0361428571428571,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"104","MW005",5,20,28,4,2,5,1,18.6,2.075,0.111559139784946,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"105","MW005",5,20,19,3,3,1,1,23.1,4.843,0.20965367965368,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"106","MW005",5,17,35,4,3,4,0,13.4,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"107","MW005",5,7,32,2,1,4,0,0,0,NA,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"108","MW005",5,10,34,2,5,2,1,87.3,1.86,0.0213058419243986,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"109","MW005",5,17,29,4,5,1,0,13.9,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"110","MW005",5,14,45,4,1,5,0,30.4,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"111","MW005",5,6,27,2,5,3,0,14.5,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"112","MW005",5,7,8,1,5,4,1,21.2,13.71,0.646698113207547,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"113","MW005",5,16,12,3,2,1,1,99,6.241,0.063040404040404,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"114","MW005",5,1,29,2,2,2,0,85.5,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"115","MW005",5,10,24,2,3,5,0,27.8,1.777,0.0639208633093525,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"116","MW005",5,7,17,1,2,4,0,18.1,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"117","MW005",5,16,17,3,4,5,0,11,2.611,0.237363636363636,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"118","MW005",5,9,14,1,5,5,0,0,0,NA,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"119","MW005",5,15,37,4,1,1,1,66.9,7.44,0.111210762331839,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"120","MW005",5,18,1,3,1,2,0,8.6,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"121","MW005",5,8,39,2,4,1,1,65.1,3.331,0.0511674347158218,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"122","MW005",5,9,44,2,2,3,0,21.6,0,0,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"123","MW006",6,4,31,2,3,1,0,6.1,0,0,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"124","MW006",6,19,23,3,1,4,0,39,0,0,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"125","MW006",6,4,12,1,4,5,0,0,0,NA,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"126","MW006",6,9,37,2,4,4,1,27.7,6.325,0.228339350180505,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"127","MW006",6,7,2,1,2,3,0,0,0,NA,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"128","MW006",6,20,17,3,1,5,0,63.9,0,0,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"129","MW006",6,2,2,1,2,5,0,14.3,0,0,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"130","MW006",6,8,27,2,3,5,0,50.5,0,0,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"131","MW006",6,2,18,1,4,2,1,26.3,0.662,0.025171102661597,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"132","MW006",6,6,18,1,2,1,0,0,0,NA,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"133","MW006",6,5,30,2,5,4,1,76.4,3.546,0.046413612565445,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
