"","Pop_ID","Population","Alive_ramets_DC3","Block","Column","Comment_DC1","Comment_DC2","Comment_DC3","Date_Measured_DC1","Date_Measured_DC2","Date_Measured_DC3","Dead_DC1","Dead_DC2","Dead_DC3","Dead_ramets_DC3","Deer_damage_DC3","Exposed_rhizome_DC1","Family","Herbivory_DC3","Herbivory_mean_DC3","Measurer_DC1","Measurer_DC2","Measurer_DC3","Monarch_damage_DC3","Num_Ramets_DC1","Num_Ramets_DC2","Replicate","Row","Total_Height_DC1","Total_Height_DC2","Total_height_DC3","Dead_2019","date_diff","rel_growth_rate","X","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_score"
"19","MW001",1,2,1,5,"","",NA,"6/6/2019","6/18/2019","9/2/2019","no","0","0",0,"0","0",5,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",2,2,2,10,49,178,27.5,0,88,-0.0065640260617966,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"20","MW001",1,1,2,26,"","",NA,"6/7/2019","6/18/2019","9/3/2019","no","0","0",0,"0","0",1,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",1,1,3,6,30,69,14.2,0,88,-0.00849949337562432,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"21","MW001",1,1,1,11,"","",NA,"6/7/2019","6/19/2019","9/3/2019","maybe","0","0",1,"0","0",4,NA,NA,"Vanessa","Sophie","Sophie","1",0,1,1,4,0,16,1,0,88,-0.0113636363636364,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"22","MW001",1,1,4,31,"","",NA,"6/3/2019","6/17/2019","9/1/2019","no","0","0",0,"0","0",4,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",1,1,2,19,10,51,16.3,0,90,0.00542866683131857,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"23","MW001",1,0,2,45,"","",NA,"6/7/2019","6/19/2019","9/4/2019","no","0","0",4,"0","0",1,"",NA,"Sophie","Sophie","Sophie","1",4,5,5,3,100,281,0,0,89,-0.0405075301796415,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"24","MW001",1,3,3,16,"","",NA,"6/3/2019","6/16/2019","8/31/2019","nothing there","1","0",0,"0","0",5,NA,NA,"Sophie","Sophie","Sophie","0",0,0,5,15,0,0,4.6,0,89,0.00591074498309044,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"25","MW001",1,1,4,27,"","",NA,"6/3/2019","6/17/2019","9/1/2019","no","0","0",0,"0","0",5,"0,0,0,0,2",0.004,"Sophie","Sophie","Sophie","1",1,1,1,19,23,146,16.5,0,90,-0.00369037594469572,1,43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377
"26","MW002",2,3,4,34,"","",NA,"6/3/2019","6/17/2019","9/1/2019","no","0","0",0,"1","0",5,NA,NA,"Sophie","Sophie","Sophie","1",2,2,2,20,24,97,16.1,0,90,-0.00443593953730587,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"27","MW002",2,1,2,34,"","",NA,"6/7/2019","6/19/2019","9/4/2019","no","0","0",0,"0","1",4,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",1,1,3,2,27,62,14.4,0,89,-0.00706301864519522,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"28","MW002",2,2,1,19,"","",NA,"6/7/2019","6/19/2019","9/3/2019","no","0","0",0,"0","0",3,"0,0,0,0,0",0,"Vanessa","Sophie","Sophie","1",1,1,1,4,9,19,14.2,0,88,0.00518201576444313,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"29","MW002",2,1,4,46,"","",NA,"6/4/2019","6/17/2019","9/1/2019","no","0","0",1,"0","0",2,NA,NA,"Sophie","Sophie","Sophie","1",8,2,4,18,28,92,6.2,0,89,-0.016939946271058,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
