"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-480.871071385887,969.742142771773,NA,NA,NA
"(1 | Family:Population)",3,-480.871071385887,967.742142771773,0,1,1
"(1 | Population)",3,-480.871071385887,967.742142771773,0,1,1
"Group","Variance","PVE"
"1","Family:Population",0,0
"2","Population",0,0
"3","Residual",1.12947819148426,1
"Chisq","Df","Pr(>Chisq)"
"Transect_ID",1.80142783207565,1,0.179539972750051
