"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",5,-704.412153975553,1418.82430795111,NA,NA,NA
"(1 | Family:Population)",4,-704.41978960266,1416.83957920532,0.0152712542146674,1,0.901650270578624
"(1 | Population)",4,-704.412526512897,1416.82505302579,0.00074507468889351,1,0.978223602324128
"Group","Variance","PVE"
"1","Family:Population",0.00735438502562748,0.0055315149507514
"2","Population",0.000783086704792422,0.000588989534842085
"3","Residual",1.32140517456189,0.993879495514406
"Chisq","Df","Pr(>Chisq)"
"Transect_ID",0.449795138521659,1,0.502432255859922
