"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-1046.20337490699,2100.40674981398,NA,NA,NA
"(1 | Family:Population)",3,-1046.20584774575,2098.4116954915,0.00494567751593422,1,0.943934577824787
"(1 | Population)",3,-1046.29840460565,2098.5968092113,0.190059397320056,1,0.662867186247854
"Group","Variance","PVE"
"1","Family:Population",0.00340438344273982,0.00254723761146106
"2","Population",0.0105423517679432,0.00788802888635431
"3","Residual",1.3225534120163,0.989564733502185
