x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.26,2014-01-26 00:00:00,ON,2014,1,26,-9.2,,-14.6,,-3.8,,1.1,,,M,,M,7,,,M,,M,0,,27.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.27,2014-01-27 00:00:00,ON,2014,1,27,-9.9,,-16,,-3.7,,2.8,,,M,,M,13,,,M,,M,0,,27.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.28,2014-01-28 00:00:00,ON,2014,1,28,-15.1,,-18.6,,-11.6,,0.2,,,M,,M,12,,,M,,M,0,,33.1,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.29,2014-01-29 00:00:00,ON,2014,1,29,-12.9,,-16.5,,-9.2,,0,,,M,,M,10,,,M,,M,0,,30.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.30,2014-01-30 00:00:00,ON,2014,1,30,-5.5,,-10.6,,-0.4,,0,,,M,,M,9,,,M,,M,0,,23.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.1.31,2014-01-31 00:00:00,ON,2014,1,31,-0.5,,-2.5,,1.5,,0,,,M,,M,8,,,M,,M,0,,18.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.1,2014-02-01 00:00:00,ON,2014,2,1,0.2,,-1.1,,1.4,,14.1,,,M,,M,8,,,M,,M,0,,17.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.2,2014-02-02 00:00:00,ON,2014,2,2,-2.6,,-6.1,,0.9,,0.3,,,M,,M,15,,,M,,M,0,,20.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.3,2014-02-03 00:00:00,ON,2014,2,3,-6.1,,-9.7,,-2.4,,0.2,,,M,,M,14,,,M,,M,0,,24.1,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.4,2014-02-04 00:00:00,ON,2014,2,4,-7.2,,-10.5,,-3.9,,0.9,,,M,,M,14,,,M,,M,0,,25.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.5,2014-02-05 00:00:00,ON,2014,2,5,-8.5,,-11.7,,-5.2,,10.9,,,M,,M,17,,,M,,M,0,,26.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.6,2014-02-06 00:00:00,ON,2014,2,6,-9.9,,-13.2,,-6.5,,0.5,,,M,,M,30,,,M,,M,0,,27.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.7,2014-02-07 00:00:00,ON,2014,2,7,-11.2,,-13.9,,-8.5,,0,,,M,,M,26,,,M,,M,0,,29.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.8,2014-02-08 00:00:00,ON,2014,2,8,-11.4,,-14.2,,-8.6,,0,,,M,,M,24,,,M,,M,0,,29.4,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.9,2014-02-09 00:00:00,ON,2014,2,9,-9.7,,-12.1,,-7.2,,1.8,,,M,,M,23,,,M,,M,0,,27.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.10,2014-02-10 00:00:00,ON,2014,2,10,-8.9,,-12,,-5.7,,0.3,,,M,,M,25,,,M,,M,0,,26.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.11,2014-02-11 00:00:00,ON,2014,2,11,-11.2,,-13.6,,-8.8,,0,,,M,,M,24,,,M,,M,0,,29.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.12,2014-02-12 00:00:00,ON,2014,2,12,-9.7,,-14.1,,-5.2,,0,,,M,,M,23,,,M,,M,0,,27.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.13,2014-02-13 00:00:00,ON,2014,2,13,-5.3,,-9,,-1.6,,0,,,M,,M,23,,,M,,M,0,,23.3,,,,,
