"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Alive","Herbivory","Date","Surveyor","Comment","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"30","MW002",2,11,9,1,1,2,1,"6,2,1,42,0","8/25/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"31","MW002",2,21,13,3,4,4,0,NA,"8/23/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"32","MW002",2,20,44,4,3,5,1,"3,1,0,0,0","8/23/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"33","MW002",2,16,41,4,4,1,0,NA,"8/24/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"34","MW002",2,3,10,1,5,3,1,"28,3,3,8,2","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"35","MW002",2,2,12,1,1,1,1,"5,2,0,0,0","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"36","MW002",2,14,31,4,1,3,1,"0,2,0,2,1","8/24/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"37","MW002",2,3,14,1,2,5,1,"6,22,50,0,44","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"38","MW002",2,5,41,2,1,5,1,"3,28,26,2,10","8/26/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"39","MW002",2,7,45,2,5,4,1,"0,30,2,38,5","8/26/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"40","MW002",2,2,34,2,4,3,1,"0,2,3,0,0","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"41","MW002",2,18,46,4,2,4,1,"14,6,4,4,1","8/23/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"42","MW002",2,19,16,3,5,1,1,"0,5,8,6,6","8/23/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"43","MW002",2,4,42,2,2,2,1,"18,22,46,3,3","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"44","MW002",2,11,20,1,4,5,1,"0,0,0,1,1","8/25/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"45","MW002",2,18,6,3,3,3,1,"1,6,3,2,5","8/23/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"46","MW002",2,2,28,2,5,5,1,"0,0,0,0,0","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"47","MW002",2,6,3,1,2,3,1,"5,2,1,1,1","8/26/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"48","MW002",2,16,28,4,4,2,1,"0,0,0,1,7","8/24/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"49","MW002",2,21,4,3,1,4,0,NA,"8/23/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"50","MW002",2,4,19,1,3,1,1,"0,5,0,1,2","8/27/2021","Sophie",NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"51","MW003",3,20,3,3,3,2,0,NA,"8/23/2021","Sophie",NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"52","MW003",3,21,38,4,3,3,0,NA,"8/23/2021","Sophie",NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"53","MW003",3,17,7,3,4,5,1,"2,1,0,3,3","8/23/2021","Sophie",NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
