"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered2021","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"11","MW004",4,8,32,2,3,3,NA,"7/16/2021","7/19/2021","08/12/2021",1,1,9,4.19,2.06,8.04,3.8,9.85,9.9,0,3.17,1.8,7.43,3.86,7.73,8.92,0,3.62,2.03,6.81,3.97,9.36,9.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.6314,5.706,7.3486,NA,NA,NA,NA,NA,NA,7.22866666666667,NA,NA,7.22866666666667,30.552,28.6798,27.0357,NA,NA,NA,NA,NA,NA,28.7558333333333,NA,NA,28.7558333333333,97.515,68.9516,84.8952,NA,NA,NA,NA,NA,NA,83.7872666666667,NA,NA,83.7872666666667,39.9239222222222,9,9,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"12","MW004",4,4,33,2,3,2,NA,"7/19/2021","7/23/2021","8/19/2021",1,2,18,7.1,2.23,8.71,3.87,8.46,8.4,1,6.98,2.46,9.29,4.52,8.11,8.29,4,6.55,2.36,8.34,4.37,8.65,8.49,0,18,5.17,1.8,6.82,3.67,6.62,6.57,0,5.67,1.87,7.21,3.67,6.73,6.71,1,6.45,2.12,7.95,4.14,7.27,7.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15.833,17.1708,15.458,9.306,10.6029,13.674,NA,NA,NA,16.1539333333333,11.1943,NA,13.6741166666667,33.7077,41.9908,36.4458,25.0294,26.4607,32.913,NA,NA,NA,37.3814333333333,28.1343666666667,NA,32.7579,71.064,67.2319,73.4385,43.4934,45.1583,56.1244,NA,NA,NA,70.5781333333333,48.2587,NA,59.4184166666667,35.2834777777778,18,36,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"13","MW005",5,6,27,2,5,3,NA,"7/12/2021","7/21/2021","08/09/2021",5,5,32,4.98,2.09,7.89,3.7,8.07,8.22,3,4.13,2.1,8.71,4.07,8.71,8.41,3,4.76,2.34,8.82,3.91,8.22,7.96,5,36,4.33,2.03,8.23,3.78,7.61,7.16,2,5.27,2.27,7.78,4.37,7.67,7.68,2,4.92,2.04,8.71,3.47,7.23,7.99,4,22,4.08,2.18,9.64,3.87,8.06,8.15,1,5.11,2.25,7.76,3.81,8.21,8.36,3,4.44,2.1,7.27,3.74,8.25,8.26,2,1,10.4082,8.673,11.1384,8.7899,11.9629,10.0368,8.8944,11.4975,9.324,10.0732,10.2632,9.9053,10.0805666666667,29.193,35.4497,34.4862,31.1094,33.9986,30.2237,37.3068,29.5656,27.1898,33.0429666666667,31.7772333333333,31.3540666666667,32.0580888888889,66.3354,73.2511,65.4312,54.4876,58.9056,57.7677,65.689,68.6356,68.145,68.3392333333333,57.0536333333333,67.4898666666667,64.2942444444444,35.4776333333333,30,90,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"14","MW005",5,15,37,4,1,1,NA,"7/12/2021","7/23/2021","08/09/2021",8,6,45,5.47,2.21,6.86,3.83,7.04,7.02,0,5.38,2.07,8.02,3.95,7.91,8.13,1,5.05,2.42,7.6,3.84,7.94,8.08,0,36,5.45,2.41,7.47,4.11,7.64,7.25,0,4,2.23,7.84,4.36,7.7,7.78,1,5.44,2.2,5.86,4.56,6.86,6.96,0,35,5.3,2.05,7.79,4.11,7.06,7.04,0,5.14,2.1,7.84,4.2,7.55,7.56,2,4.96,2.3,7.57,4.26,8.01,7.76,0,1,12.0887,11.1366,12.221,13.1345,8.92,11.968,10.865,10.794,11.408,11.8154333333333,11.3408333333333,11.0223333333333,11.3928666666667,26.2738,31.679,29.184,30.7017,34.1824,26.7216,32.0169,32.928,32.2482,29.0456,30.5352333333333,32.3977,30.6595111111111,49.4208,64.3083,64.1552,55.39,59.906,47.7456,49.7024,57.078,62.1576,59.2947666666667,54.3472,56.3126666666667,56.6515444444444,32.9013074074074,38.6666666666667,116,5,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"15","MW006",6,14,27,4,5,2,NA,"7/5/2021","7/16/2021",NA,0,2,20,4.98,2.36,7.38,3.57,7.87,7.76,0,4.38,2.23,7.99,3.63,7.8,7.55,2,5.22,2.34,7.82,3.68,7.9,7.8,1,11,4.17,1.95,7.08,3.56,5.22,6.01,3,4.32,2.08,7.95,3.66,6.95,6.97,0,4.45,2.17,7.25,3.38,7.12,7.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.7528,9.7674,12.2148,8.1315,8.9856,9.6565,NA,NA,NA,11.245,8.92453333333333,NA,10.0847666666667,26.3466,29.0037,28.7776,25.2048,29.097,24.505,NA,NA,NA,28.0426333333333,26.2689333333333,NA,27.1557833333333,61.0712,58.89,61.62,31.3722,48.4415,52.4744,NA,NA,NA,60.5270666666667,44.0960333333333,NA,52.31155,29.8507,15.5,31,6,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"16","MW007",7,1,39,2,4,2,NA,"7/19/2021","7/23/2021","08/19/2021",1,2,20,3.19,2.33,5.16,4.14,6.61,7.02,0,3.52,2.22,6.99,4.39,7.43,7.69,0,4.04,2.3,7.14,3.98,6.98,7.29,0,16,3.79,2.38,6.86,4.49,8.48,8.47,0,3.83,2.26,6.9,4.43,7.63,7.81,0,3.67,2.29,7.7,3.94,6.22,6.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.4327,7.8144,9.292,9.0202,8.6558,8.4043,NA,NA,NA,8.1797,8.69343333333333,NA,8.43656666666667,21.3624,30.6861,28.4172,30.8014,30.567,30.338,NA,NA,NA,26.8219,30.5688,NA,28.69535,46.4022,57.1367,50.8842,71.8256,59.5903,39.497,NA,NA,NA,51.4743666666667,56.9709666666667,NA,54.2226666666667,30.4515277777778,18,36,7,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"17","MW007",7,4,36,2,5,5,NA,"7/12/2021","7/26/2021","08/12/2021",9,6,29,3.52,2.41,9.73,4.05,10.55,10.45,4,4.17,2.44,8.69,4.3,9,8.63,4,4.23,2.75,10.06,4.18,8.44,8.46,5,30,4.11,2.12,9.11,3.9,9.16,9.3,4,4.7,2.25,8.21,4.01,7.72,8.26,3,4.43,2.45,9.11,3.71,10.16,9.81,3,25,4.99,2.14,9.38,4.14,10.17,10.13,2,4.4,2.14,9.04,3.75,9.34,9.12,4,4.52,2.02,9.27,3.77,8.95,9.22,1,1,8.4832,10.1748,11.6325,8.7132,10.575,10.8535,10.6786,9.416,9.1304,10.0968333333333,10.0472333333333,9.74166666666667,9.96191111111111,39.4065,37.367,42.0508,35.529,32.9221,33.7981,38.8332,33.9,34.9479,39.6081,34.0830666666667,35.8937,36.5282888888889,110.2475,77.67,71.4024,85.188,63.7672,99.6696,103.0221,85.1808,82.519,86.4399666666667,82.8749333333333,90.2406333333333,86.5185111111111,44.336237037037,28,84,7,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"18","MW008",8,5,6,1,3,5,NA,"7/4/2021","7/26/2021","7/26/2021",21,18,8,3.09,2.29,8.57,3.7,8.82,8.57,0,3.39,2.17,8.26,4.4,9.48,9.49,0,3.77,2.3,6.72,4.61,8.69,8.61,0,17,2.96,2.25,6.68,4.56,9.11,9.08,4,3.27,2.31,7.36,4.38,8.72,8.88,1,4,2.37,7.41,4.12,9.03,8.57,3,12,3.73,2.46,7.52,3.98,8.74,8.85,1,4.45,2.25,6.03,4.76,9.37,9.32,0,3.63,2.04,5.37,4.24,8.88,9.35,0,1,7.0761,7.3563,8.671,6.66,7.5537,9.48,9.1758,10.0125,7.4052,7.70113333333333,7.8979,8.8645,8.15451111111111,31.709,36.344,30.9792,30.4608,32.2368,30.5292,29.9296,28.7028,22.7688,33.0107333333333,31.0756,27.1337333333333,30.4066888888889,75.5874,89.9652,74.8209,82.7188,77.4336,77.3871,77.349,87.3284,83.028,80.1245,79.1798333333333,82.5684666666667,80.6242666666667,39.7284888888889,12.3333333333333,37,8,"AS021",43.457451,-79.866815,"Rural",45019.0640911002,45.0190640911002,"Rural",-1.67951
"19","MW011",11,18,17,3,1,5,NA,"6/30/2021","7/7/2021",NA,0,2,7,4.02,2.31,6.9,4.19,7.46,7.62,1,4.15,2.88,7.31,3.29,7.89,7.67,5,3.88,1.95,7.38,4.011,7.55,7.51,5,12,4.47,2.22,7.94,4.11,7.4,8.09,0,3.9,2.25,7.38,4.42,7.68,6.84,3,3.77,2.14,6.87,3.8,7.5,7.59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.2862,11.952,7.566,9.9234,8.775,8.0678,NA,NA,NA,9.6014,8.92206666666667,NA,9.26173333333333,28.911,24.0499,29.60118,32.6334,32.6196,26.106,NA,NA,NA,27.5206933333333,30.453,NA,28.9868466666667,56.8452,60.5163,56.7005,59.866,52.5312,56.925,NA,NA,NA,58.0206666666667,56.4407333333333,NA,57.2307,31.8264266666667,9.5,19,11,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156
"20","MW011",11,11,3,1,1,3,NA,"7/1/2021","7/21/2021","08/06/2021",1,11,22,3.49,2.3,9.46,4.06,9.05,9.24,1,3.82,2.5,8.08,4.03,10.09,10.03,0,3.92,2.52,9.44,4.03,10.32,10.04,2,2,3.3,2.35,7.53,4.57,9.2,9.21,1,4.35,2.24,7.63,4.52,9.6,9.2,0,NA,NA,NA,NA,NA,NA,NA,9,3.3,2.17,7.04,4.35,7.63,7.53,0,3.05,2.15,7.73,4.01,8.53,9,2,4.09,2.13,8.11,4.51,8.86,8.83,2,1,8.027,9.55,9.8784,7.755,9.744,NA,7.161,6.5575,8.7117,9.1518,8.7495,7.47673333333333,8.45934444444444,38.4076,32.5624,38.0432,34.4121,34.4876,NA,30.624,30.9973,36.5761,36.3377333333333,34.44985,32.7324666666667,34.5066833333333,83.622,101.2027,103.6128,84.732,88.32,NA,57.4539,76.77,78.2338,96.1458333333333,86.526,70.8192333333333,84.4970222222222,42.4876833333333,11,33,11,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156
