"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered2022","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count"
"21",2,23,"1","31","4","2","only 2 inflor","6/29/2022","7/06/2022","7/27/2022",4,4,67,3.16,2.18,8.23,3.87,9.11,9.07,1,2.78,1.95,7.63,3.54,9.61,9.87,1,3.65,1.81,8.32,3.78,9.03,8.95,2,25,2.98,1.79,6.54,3.02,7.88,7.65,1,4.36,2.63,8.12,3.67,8.63,8.41,0,3.45,2.26,8.23,3.61,8.69,8.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.8888,5.421,6.6065,5.3342,11.4668,7.797,NA,NA,NA,6.30543333333333,8.19933333333333,NA,7.25238333333333,31.8501,27.0102,31.4496,19.7508,29.8004,29.7103,NA,NA,NA,30.1033,26.4205,NA,28.2619,82.6277,94.8507,80.8185,60.282,72.5783,74.2126,NA,NA,NA,86.0989666666667,69.0243,NA,77.5616333333333,37.6919722222222,46,92
"22",2,25,"2","68","5","3",NA,"6/29/2022","7/13/2022","7/25/2022",25,11,57,2.96,2.11,7.48,3.67,9.24,9.16,0,3.32,2.12,7.85,4.33,8.96,9.23,1,3.02,1.99,7.56,3.65,8.85,8.36,0,62,3.03,2.36,8.36,3.89,7.85,7.51,0,2.35,1.98,5.96,3.73,6.81,6.35,2,2.69,1.75,7.13,3.21,9.32,9.51,0,65,3.05,2.36,8.11,3.29,8.52,9.11,0,2.66,1.87,5.96,3.58,6.95,7.23,1,2.95,1.86,7.69,4.12,8.95,8.64,0,"1",6.2456,7.0384,6.0098,7.1508,4.653,4.7075,7.198,4.9742,5.487,6.43126666666667,5.50376666666667,5.8864,5.94047777777778,27.4516,33.9905,27.594,32.5204,22.2308,22.8873,26.6819,21.3368,31.6828,29.6787,25.8795,26.5671666666667,27.3751222222222,84.6384,82.7008,73.986,58.9535,43.2435,88.6332,77.6172,50.2485,77.328,80.4417333333333,63.6100666666667,68.3979,70.8165666666667,34.7107222222222,61.3333333333333,184
"23",2,26,"2","28","1","4",NA,"7/13/2022","7/18/2022","08/08/2022",8,4,42,3.12,2.02,7.54,3.97,8.84,8.72,3,3.25,2.08,7.66,3.58,8.91,8.54,0,3.62,2.17,7.84,3.52,8.69,8.54,1,19,3.13,1.81,8.29,3.25,8.26,8.07,3,3.67,2.04,8.55,3.16,8.65,8.17,0,3.33,2.16,8.49,3.26,8.97,8.88,2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.3024,6.76,7.8554,5.6653,7.4868,7.1928,NA,NA,NA,6.9726,6.78163333333333,NA,6.87711666666667,29.9338,27.4228,27.5968,26.9425,27.018,27.6774,NA,NA,NA,28.3178,27.2126333333333,NA,27.7652166666667,77.0848,76.0914,74.2126,66.6582,70.6705,79.6536,NA,NA,NA,75.7962666666667,72.3274333333333,NA,74.06185,36.2347277777778,29,87
"24",2,30,"2","41","1","1","only 2 inflor ","7/22/2022","7/25/2022","8/19/2022",2,2,17,3.68,2.48,7.69,3.51,9.45,9.36,1,3.56,2.33,7.58,3.47,9.85,9.39,0,3.68,2.16,7.44,3.37,9.67,9.38,1,18,3.39,2.44,7.37,4.09,7.63,7.38,0,3.51,2.68,7.54,4.06,7.85,7.49,1,3.68,2.51,7.64,3.96,7.88,8.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.1264,8.2948,7.9488,8.2716,9.4068,9.2368,NA,NA,NA,8.45666666666667,8.97173333333333,NA,8.7142,26.9919,26.3026,25.0728,30.1433,30.6124,30.2544,NA,NA,NA,26.1224333333333,30.3367,NA,28.2295666666667,88.452,92.4915,90.7046,56.3094,58.7965,63.9856,NA,NA,NA,90.5493666666667,59.6971666666667,NA,75.1232666666667,37.3556777777778,17.5,35
"25",2,39,"2","77","2","2",NA,"7/08/2022","7/27/2022","08/12/2022",26,15,6,3.38,2.03,6.24,3.47,10.11,9.84,2,3.64,1.96,6.74,3.57,10.06,9.78,0,3.88,2.05,6.58,2.08,9.89,9.36,1,33,3.52,2.18,6.03,3.58,9.9,9.35,0,3.29,2.03,6.18,3.21,10.11,9.93,2,3.68,1.96,6.77,3.57,9.98,9.49,0,28,3.8,2,7.81,3.92,9.67,9.16,1,4.37,2.05,6.58,3.92,8.55,8.34,1,4.4,2.15,7.86,3.77,9.42,8.9,1,"1",6.8614,7.1344,7.954,7.6736,6.6787,7.2128,7.6,8.9585,9.46,7.3166,7.18836666666667,8.67283333333333,7.72593333333333,21.6528,24.0618,13.6864,21.5874,19.8378,24.1689,30.6152,25.7936,29.6322,19.8003333333333,21.8647,28.6803333333333,23.4484555555556,99.4824,98.3868,92.5704,92.565,100.3923,94.7102,88.5772,71.307,83.838,96.8132,95.8891666666667,81.2407333333333,91.3143666666667,40.8295851851852,22.3333333333333,67
"26",2,40,"2","47","2","4",NA,"7/08/2022","7/18/2022","08/02/2022",7,5,38,3.32,2.34,7.1,3.34,7.99,7.73,3,3.41,2.07,7.15,3.76,8.22,8.03,0,3.46,2.04,7.06,3.41,7.59,7.25,0,49,3.06,2.3,7.04,3.61,8.07,7.77,0,3.21,2.13,7.18,3.12,8.24,8.15,0,3.18,2.17,7.17,3.75,8.13,8.36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.7688,7.0587,7.0584,7.038,6.8373,6.9006,NA,NA,NA,7.2953,6.9253,NA,7.1103,23.714,26.884,24.0746,25.4144,22.4016,26.8875,NA,NA,NA,24.8908666666667,24.9011666666667,NA,24.8960166666667,61.7627,66.0066,55.0275,62.7039,67.156,67.9668,NA,NA,NA,60.9322666666667,65.9422333333333,NA,63.43725,31.8145222222222,43.5,87
"27",2,41,"2","64","1","3",NA,"7/01/2022","7/27/2022","7/27/2022",35,18,32,3.78,2.49,8.9,4.77,9.09,9.5,0,3.99,2.15,8.66,4.27,9.16,9.03,0,4.28,2.57,7.75,4.86,8.47,8.46,0,26,3.18,2.56,8.06,4.81,10.04,9.96,0,3.26,1.85,8.36,3.84,9.68,9.14,0,2.97,1.78,8.12,3.69,8.45,8.17,1,20,3.11,2.12,8.07,4.96,9.05,8.72,0,3.67,3.47,8.54,3.98,9.55,9.06,1,3.24,1.94,7.24,3.66,8.69,8.93,0,"1",9.4122,8.5785,10.9996,8.1408,6.031,5.2866,6.5932,12.7349,6.2856,9.66343333333333,6.48613333333333,8.5379,8.22915555555556,42.453,36.9782,37.665,38.7686,32.1024,29.9628,40.0272,33.9892,26.4984,39.0320666666667,33.6112666666667,33.5049333333333,35.3827555555556,86.355,82.7148,71.6562,99.9984,88.4752,69.0365,78.916,86.523,77.6017,80.242,85.8367,81.0135666666667,82.3640888888889,41.992,26,78
"28",2,43,"2","57","1","4","only 2 inflor ","7/18/2022","7/20/2022",NA,0,2,10,2.4,1.82,7.21,3.51,8.17,8.03,0,2.56,1.84,7.16,3.41,8.66,8.53,1,2.68,1.9,7.36,3.48,8.95,8.63,1,9,3.53,2.17,7.42,3.97,8.55,8.14,0,3.62,2.04,7.84,3.54,8.77,8.45,0,3.58,2.13,7.59,3.67,9.06,8.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",4.368,4.7104,5.092,7.6601,7.3848,7.6254,NA,NA,NA,4.72346666666667,7.55676666666667,NA,6.14011666666667,25.3071,24.4156,25.6128,29.4574,27.7536,27.8553,NA,NA,NA,25.1118333333333,28.3554333333333,NA,26.7336333333333,65.6051,73.8698,77.2385,69.597,74.1065,79.3656,NA,NA,NA,72.2378,74.3563666666667,NA,73.2970833333333,35.3902777777778,9.5,19
"29",2,44,"2","15","2","3","only 2 inflor ","7/01/2022","7/22/2022",NA,0,2,16,2.99,2.06,6.35,4.45,8.76,8.56,0,3.05,1.98,6.82,3.68,8.95,8.64,0,3.12,2.12,7.34,3.78,8.96,8.51,1,6,3.03,2.05,7.75,3.67,8.2,7.87,0,3.15,2.01,7.96,3.14,8.69,8.14,2,3.48,2.14,7.95,3.55,8.67,8.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.1594,6.039,6.6144,6.2115,6.3315,7.4472,NA,NA,NA,6.27093333333333,6.6634,NA,6.46716666666667,28.2575,25.0976,27.7452,28.4425,24.9944,28.2225,NA,NA,NA,27.0334333333333,27.2198,NA,27.1266166666667,74.9856,77.328,76.2496,64.534,70.7366,73.8684,NA,NA,NA,76.1877333333333,69.713,NA,72.9503666666667,35.5147166666667,11,22
"30",2,45,"2","79","5","2",NA,"7/01/2022","7/22/2022","7/27/2022",1,2,31,2.57,1.79,6.46,3.42,7.02,7.36,0,3.12,1.84,6.56,3.25,7.28,7.06,1,3.14,1.96,7.03,3.24,7.29,7.03,0,18,2.85,1.68,5.56,3.26,7.06,6.74,0,2.94,1.69,5.62,3.14,7.36,7.16,0,3.04,1.84,6.27,3.34,7.66,8.03,0,25,3.04,1.99,7.38,3.84,7.42,7.23,0,3.25,2.04,7.65,3.69,7.56,7.36,1,3.69,2.31,7.85,3.54,8.11,7.69,0,"1",4.6003,5.7408,6.1544,4.788,4.9686,5.5936,6.0496,6.63,8.5239,5.4985,5.11673333333333,7.06783333333333,5.89435555555556,22.0932,21.32,22.7772,18.1256,17.6468,20.9418,28.3392,28.2285,27.789,22.0634666666667,18.9047333333333,28.1189,23.0290333333333,51.6672,51.3968,51.2487,47.5844,52.6976,61.5098,53.6466,55.6416,62.3659,51.4375666666667,53.9306,57.2180333333333,54.1954,27.706262962963,24.6666666666667,74
"31",3,1,"1","12","5","1",NA,"6/27/2022","7/18/2022","08/02/2022",20,15,64,4.44,3.17,6.14,4.61,8.57,8.61,0,4.15,3.02,6.43,4.32,8.22,8.16,0,4.65,3.35,7.14,4.55,8.56,8.13,0,1,4.27,2.4,5.34,4.31,7.96,8.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,3.67,2.83,7.09,4.01,8.33,8.48,0,4.36,2.67,7.48,4.54,8.65,8.01,0,4.45,2.67,9.12,4.09,8.24,8.56,1,"1",14.0748,12.533,15.5775,10.248,NA,NA,10.3861,11.6412,11.8815,14.0617666666667,10.248,11.3029333333333,11.8709,28.3054,27.7776,32.487,23.0154,NA,NA,28.4309,33.9592,37.3008,29.5233333333333,23.0154,33.2303,28.5896777777778,73.7877,67.0752,69.5928,66.7048,NA,NA,70.6384,69.2865,70.5344,70.1519,66.7048,70.1531,69.0032666666667,36.4879481481481,43,129
"32",3,2,"1","68","3","4","only 1 inflor","7/04/2022","7/08/2022","08/02/2022",1,2,15,3.81,2.42,8.75,4.5,8.24,8.16,0,3.52,2.16,8.96,4.17,8.96,8.74,1,3.02,2.17,8.92,4.03,8.49,8.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.2202,7.6032,6.5534,NA,NA,NA,NA,NA,NA,7.79226666666667,NA,NA,7.79226666666667,39.375,37.3632,35.9476,NA,NA,NA,NA,NA,NA,37.5619333333333,NA,NA,37.5619333333333,67.2384,78.3104,69.8727,NA,NA,NA,NA,NA,NA,71.8071666666667,NA,NA,71.8071666666667,39.0537888888889,15,15
"33",3,3,"1","14","5","1",NA,"7/04/2022","8/04/2022","7/27/2022",18,13,54,3.15,2.34,6.47,4.44,7.81,6.96,0,3.16,2.12,6.84,3.98,7.84,7.58,0,3.36,2.16,7.16,3.54,8.14,8.23,1,45,3.79,2.58,7.06,4.42,10.32,10.21,0,3.84,2.16,7.68,3.96,10.06,9.58,1,3.68,2.13,8.05,4.16,9.69,9.38,0,63,4.04,2.18,8.21,4.21,8.69,8.74,0,4.16,2.58,8.41,3.69,9.06,8.74,1,4.26,2.17,8.57,3.57,8.68,8.15,0,"1",7.371,6.6992,7.2576,9.7782,8.2944,7.8384,8.8072,10.7328,9.2442,7.10926666666667,8.637,9.59473333333333,8.447,28.7268,27.2232,25.3464,31.2052,30.4128,33.488,34.5641,31.0329,30.5949,27.0988,31.702,32.0639666666667,30.2882555555556,54.3576,59.4272,66.9922,105.3672,96.3748,90.8922,75.9506,79.1844,70.742,60.259,97.5447333333333,75.2923333333333,77.6986888888889,38.8113148148148,54,162
"34",3,4,"1","9","2","2",NA,"7/08/2022","7/22/2022","8/10/2022",5,6,56,3.14,2.21,8.16,4.58,8.54,8.18,0,3.12,2.13,8.41,4.36,8.58,8.33,1,3.33,2.23,8.67,4.21,8.69,8.72,1,63,3.29,2.34,8.12,4.38,9.02,9.09,0,3.48,2.18,7.86,4.08,9.06,9.18,0,3.58,2.31,8.15,4.52,9.08,9.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.9394,6.6456,7.4259,7.6986,7.5864,8.2698,NA,NA,NA,7.00363333333333,7.8516,NA,7.42761666666667,37.3728,36.6676,36.5007,35.5656,32.0688,36.838,NA,NA,NA,36.8470333333333,34.8241333333333,NA,35.8355833333333,69.8572,71.4714,75.7768,81.9918,83.1708,84.8072,NA,NA,NA,72.3684666666667,83.3232666666667,NA,77.8458666666667,40.3696888888889,59.5,119
"35",3,5,"1","13","5","5","3rd inflor only has one left","7/04/2022","7/18/2022","7/29/2022",13,5,47,2.96,1.91,8.39,3.89,8.05,8.04,1,3.42,1.72,8.28,3.35,7.64,7.72,0,3.25,2.03,7.98,3.61,8.69,8.05,1,38,3.01,2.07,7.94,4.16,8.37,8.44,1,3.25,2.16,8.14,4.09,8.51,8.32,0,3.62,2.31,7.96,3.59,8.16,8.35,0,2,2.6,1.85,8.62,4.06,8.02,7.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.6536,5.8824,6.5975,6.2307,7.02,8.3622,4.81,NA,NA,6.0445,7.2043,4.81,6.0196,32.6371,27.738,28.8078,33.0304,33.2926,28.5764,34.9972,NA,NA,29.7276333333333,31.6331333333333,34.9972,32.1193222222222,64.722,58.9808,69.9545,70.6428,70.8032,68.136,62.155,NA,NA,64.5524333333333,69.8606666666667,62.155,65.5227,34.5538740740741,29,87
"36",3,8,"1","15","4","1","only 2 inflor ","7/13/2022","7/15/2022",NA,0,2,23,2.95,1.97,7.88,3.44,6.8,6.43,1,3.05,2,7.98,3.25,6.92,6.74,1,3.1,2.34,7.96,3.63,7.2,7.15,0,18,3.09,2.33,8.17,3.58,8.28,8.16,0,3.18,2.41,8.05,3.61,8.35,8.47,1,3.23,4.16,7.89,3.3,8.57,8.16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.8115,6.1,7.254,7.1997,7.6638,13.4368,NA,NA,NA,6.3885,9.43343333333333,NA,7.91096666666667,27.1072,25.935,28.8948,29.2486,29.0605,26.037,NA,NA,NA,27.3123333333333,28.1153666666667,NA,27.71385,43.724,46.6408,51.48,67.5648,70.7245,69.9312,NA,NA,NA,47.2816,69.4068333333333,NA,58.3442166666667,31.3230111111111,20.5,41
"37",3,13,"1","39","2","2",NA,"7/04/2022","7/06/2022","08/02/2022",1,3,3,3.53,2.37,6.41,4.21,8.95,9.07,0,3.78,2.37,7.26,3.8,8.76,8.81,0,3.21,2.3,7.25,4.43,9.14,8.84,1,9,3.68,2.17,8.69,3.68,8.49,8.37,0,3.12,2.08,8.34,4.39,8.36,8.1,0,2.98,1.76,8.23,3.77,8.36,8.22,1,35,4.17,2.65,7.68,3.69,8.61,8.64,2,4.15,2.14,8.51,3.22,8.24,7.65,0,4.27,2.05,8.17,3.64,8.62,8.95,0,"1",8.3661,8.9586,7.383,7.9856,6.4896,5.2448,11.0505,8.881,8.7535,8.2359,6.57333333333333,9.56166666666667,8.12363333333333,26.9861,27.588,32.1175,31.9792,36.6126,31.0271,28.3392,27.4022,29.7388,28.8972,33.2063,28.4934,30.1989666666667,81.1765,77.1756,80.7976,71.0613,67.716,68.7192,74.3904,63.036,77.149,79.7165666666667,69.1655,71.5251333333333,73.4690666666667,37.2638888888889,15.6666666666667,47
"38",3,14,"1","2","2","5",NA,"6/29/2022","7/15/2022","7/27/2022",9,5,9,3.04,2.29,7.77,4.17,8.32,8.28,0,3.36,2.13,7.22,4.25,9.63,9.12,1,4.69,2.06,6.35,4.02,6.98,6.94,0,21,4.28,2.36,9.62,3.96,7.25,7.58,1,4.45,2.69,9.63,4.52,7.96,8.12,1,3.69,1.74,7.95,3.64,7.23,7.15,0,15,4.69,2.35,9.16,4.32,8.02,8.36,1,4.02,1.98,8.69,3.65,8.36,8.03,0,4.25,2.66,9.38,3.84,8.69,2.58,0,"1",6.9616,7.1568,9.6614,10.1008,11.9705,6.4206,11.0215,7.9596,11.305,7.9266,9.4973,10.0953666666667,9.17308888888889,32.4009,30.685,25.527,38.0952,43.5276,28.938,39.5712,31.7185,36.0192,29.5376333333333,36.8536,35.7696333333333,34.0536222222222,68.8896,87.8256,48.4412,54.955,64.6352,51.6945,67.0472,67.1308,22.4202,68.3854666666667,57.0949,52.1994,59.2265888888889,34.1511,15,45
"39",3,17,"1","8","2","5",NA,"7/11/2022","7/15/2022","08/08/2022",4,5,44,2.98,2.54,8.3,4.66,8.18,8.06,0,3.01,2.47,8.23,4.18,8.58,8.26,0,3.12,2.13,8.11,4.51,8.37,8.29,0,14,2.5,2.35,6.55,4.07,7.9,7.73,1,2.61,2.14,6.84,4.01,7.58,8.03,0,2.8,2.31,6.58,3.99,7.48,7.81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.5692,7.4347,6.6456,5.875,5.5854,6.468,NA,NA,NA,7.2165,5.97613333333333,NA,6.59631666666667,38.678,34.4014,36.5761,26.6585,27.4284,26.2542,NA,NA,NA,36.5518333333333,26.7803666666667,NA,31.6661,65.9308,70.8708,69.3873,61.067,60.8674,58.4188,NA,NA,NA,68.7296333333333,60.1177333333333,NA,64.4236833333333,34.2287,29,58
"40",3,19,"1","18","1","4","second inflor too eaten ","7/13/2022","7/25/2022","08/04/2022",8,4,26,3.28,2.12,7.87,5.14,9.31,9.3,0,2.99,2.33,7.21,4.66,7.48,7.64,0,3.18,2.37,7.58,4.88,8.74,9.06,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.9536,6.9667,7.5366,NA,NA,NA,NA,NA,NA,7.1523,NA,NA,7.1523,40.4518,33.5986,36.9904,NA,NA,NA,NA,NA,NA,37.0136,NA,NA,37.0136,86.583,57.1472,79.1844,NA,NA,NA,NA,NA,NA,74.3048666666667,NA,NA,74.3048666666667,39.4902555555556,15.3333333333333,46
"41",3,20,"1","36","2","2",NA,"7/01/2022","7/13/2022","7/25/2022",6,3,57,2.88,1.52,7.72,4.16,7.71,7.7,1,2.96,1.84,7.25,3.69,7.25,7.17,0,3.04,1.96,7.23,3.96,7.56,7.62,0,84,2.63,1.83,7.22,3.98,7.98,7.8,0,2.84,1.75,7.34,3.68,8.15,8.04,1,2.97,1.88,7.47,3.65,8.14,7.96,0,1,2.51,1.92,7.02,4.42,8.46,8.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",4.3776,5.4464,5.9584,4.8129,4.97,5.5836,4.8192,NA,NA,5.2608,5.12216666666667,4.8192,5.06738888888889,32.1152,26.7525,28.6308,28.7356,27.0112,27.2655,31.0284,NA,NA,29.1661666666667,27.6707666666667,31.0284,29.2884444444444,59.367,51.9825,57.6072,62.244,65.526,64.7944,70.8948,NA,NA,56.3189,64.1881333333333,70.8948,63.8006111111111,32.7188148148148,47.3333333333333,142
"42",3,23,"1","30","5","4","only 2 inflor","7/22/2022","7/25/2022",NA,0,2,19,3.59,1.99,7.85,4.21,10.23,10.38,2,3.61,2.05,7.59,4.16,10.11,10.05,2,3.69,1.76,7.66,4.15,10.08,9.84,0,7,3.3,1.89,9.71,4.44,8.93,8.53,1,3.25,1.74,9.84,4.69,9.16,9.07,0,3.27,1.87,9.66,4.58,8.99,8.67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.1441,7.4005,6.4944,6.237,5.655,6.1149,NA,NA,NA,7.013,6.0023,NA,6.50765,33.0485,31.5744,31.789,43.1124,46.1496,44.2428,NA,NA,NA,32.1373,44.5016,NA,38.31945,106.1874,101.6055,99.1872,76.1729,83.0812,77.9433,NA,NA,NA,102.3267,79.0658,NA,90.69625,45.17445,13,26
"43",3,24,"2","4","4","5",NA,"7/15/2022","7/25/2022","08/08/2022",13,5,47,2.65,2.01,8.17,4.19,8.52,8.26,3,2.63,2.03,8.47,4.08,8.68,8.24,2,2.84,2.11,8.37,4.11,8.96,8.59,0,45,2.75,2.02,8.63,3.87,8.33,7.94,2,2.84,2.17,8.54,3.55,8.47,8.12,2,2.68,2.05,8.36,3.41,8.68,8.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.3265,5.3389,5.9924,5.555,6.1628,5.494,NA,NA,NA,5.5526,5.73726666666667,NA,5.64493333333333,34.2323,34.5576,34.4007,33.3981,30.317,28.5076,NA,NA,NA,34.3968666666667,30.7409,NA,32.5688833333333,70.3752,71.5232,76.9664,66.1402,68.7764,71.7836,NA,NA,NA,72.9549333333333,68.9000666666667,NA,70.9275,36.3804388888889,46,92
"44",3,26,"2","62","3","1",NA,"7/15/2022","7/22/2022","08/08/2022",17,5,39,2.29,1.97,6.81,3.51,7.68,7.11,3,2.36,1.99,6.79,3.42,8.05,8.11,0,2.47,1.85,7.13,3.25,8.11,8.06,2,32,2.55,2.17,6.53,3.65,7.65,7.25,4,2.67,2.04,7.01,3.52,7.85,7.68,2,2.78,2.11,6.58,3.24,7.98,7.46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",4.5113,4.6964,4.5695,5.5335,5.4468,5.8658,NA,NA,NA,4.5924,5.61536666666667,NA,5.10388333333333,23.9031,23.2218,23.1725,23.8345,24.6752,21.3192,NA,NA,NA,23.4324666666667,23.2763,NA,23.3543833333333,54.6048,65.2855,65.3666,55.4625,60.288,59.5308,NA,NA,NA,61.7523,58.4271,NA,60.0897,29.5159888888889,35.5,71
"45",3,28,"2","77","3","2",NA,"7/18/2022","7/25/2022","8/15/2022",17,7,25,3.44,2.03,7.79,3.71,8.53,8.23,1,3.51,2.12,7.05,3.59,8.62,8.41,2,3.45,2.01,7.76,3.64,8.34,8.46,2,18,3.63,2.4,7.25,3.82,8.95,8.51,5,3.31,2.12,7.16,3.83,8.89,8.74,1,3.28,2.08,7.68,3.84,8.92,8.78,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.9832,7.4412,6.9345,8.712,7.0172,6.8224,NA,NA,NA,7.11963333333333,7.5172,NA,7.31841666666667,28.9009,25.3095,28.2464,27.695,27.4228,29.4912,NA,NA,NA,27.4856,28.203,NA,27.8443,70.2019,72.4942,70.5564,76.1645,77.6986,78.3176,NA,NA,NA,71.0841666666667,77.3935666666667,NA,74.2388666666667,36.4671944444444,21.3333333333333,64
"46",3,29,"2","4","4","4",NA,"7/13/2022","7/20/2022","08/08/2022",17,5,51,2.6,2.19,7.25,4.11,8.84,8.72,1,2.51,2.08,7.51,4.06,8.99,8.71,0,2.63,2.07,7.58,4.09,8.69,8.35,1,48,2.87,2.36,8.23,4.68,8.99,9.13,4,2.94,2.25,8.13,4.51,9.06,8.76,2,2.86,2.17,8.56,4.18,8.74,8.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.694,5.2208,5.4441,6.7732,6.615,6.2062,NA,NA,NA,5.45296666666667,6.53146666666667,NA,5.99221666666667,29.7975,30.4906,31.0022,38.5164,36.6663,35.7808,NA,NA,NA,30.4301,36.9878333333333,NA,33.7089666666667,77.0848,78.3029,72.5615,82.0787,79.3656,75.3388,NA,NA,NA,75.9830666666667,78.9277,NA,77.4553833333333,39.0521888888889,49.5,99
