Pop_ID,6.6_main,11.7,15_main,17.2,17.6_main,18.9_internalstandard,23.2,total
1,0.09795983,0,0.038378411,0.008226998,0.042729037,0.4,0.002468849,0.189763126
2,0.155868501,0,0.047004744,0.0059806,0.026216572,0.4,0.004510638,0.239581057
3,0.285184774,0,0.02543283,0.003869922,0.02397751,0.4,0,0.338465035
4,0.176764231,0,0.041291704,0.011787278,0.031420619,0.4,0.004634576,0.265898407
5,0.200217466,0,0.013167989,0.008891579,0.037031226,0.4,0,0.25930826
6,0.073003663,0,0.056271166,0.015113657,0.052179136,0.4,0.005740042,0.202307664
7,0.195182151,0,0.033295221,0.009026511,0.01675772,0.4,0.00343301,0.257694612
8,0.116389828,0,0.009639515,0.005363731,0.012748626,0.4,0,0.1441417
9,0.214173347,0,0.036902764,0.015643866,0.031044592,0.4,0,0.297764568
11,0.04100767,0,0.022173583,0.013466403,0.014354611,0.4,0,0.091002267
12,0.205504094,0,0.103079532,0.017188807,0.030551454,0.4,0,0.356323886
13,0.205585951,0,0.097730565,0.01440691,0.050706181,0.4,0,0.368429607
14,0.148797681,0,0.039961655,0.008579918,0.012401548,0.4,0,0.209740802
15,0.334369144,0,0.08843534,0.009083301,0.014596816,0.4,0.002479115,0.448963715
16,0.557114728,0.072895198,0.070439019,0.013934154,0.023141868,0.4,0,0.737524966
17,0.28670243,0,0.06353709,0.009556237,0.023606672,0.4,0.002486265,0.385888694
18,0.128575947,0,0.082958807,0.006597464,0.012913651,0.4,0.004531338,0.235577206
19,0.232857114,0,0.050320619,0.008269833,0.029672615,0.4,0,0.32112018
20,0.346647774,0,0.084787231,0.016066439,0.032584527,0.4,0,0.480085971
21,0.149568428,0,0.058569954,0.009637692,0.0130023,0.4,0.002028819,0.232807193
23,0.219953525,0.014847363,0.08796743,0.00741244,0.008513233,0.4,0.003649128,0.342343119
26,0.265121641,0,0.050111167,0.014483579,0.026802154,0.4,0.00214882,0.358667361
27,0.377137261,0.019769401,0.090830245,0.011856586,0.032521052,0.4,0.004346289,0.536460834
28,0.290021801,0.015468654,0.04501875,0.020331349,0.036211816,0.4,0.004155835,0.411208205
29,0.419922751,0,0.008269666,0.007264016,0.01162494,0.4,0.001416685,0.448498058
30,0.166356571,0,0.031690495,0.01207918,0.009951732,0.4,0,0.220077977
31,0.133665552,0,0.039162279,0.008869172,0.007014869,0.4,0.002065384,0.190777256
32,0.116261809,0,0.023852939,0.009161607,0.006681208,0.4,0.006576522,0.162534086
35,0.096207194,0,0.022642606,0.005336919,0.008424009,0.4,0.008174555,0.140785283
36,0.121788176,0,0.019939966,0.008710831,0.011000403,0.4,0.003902596,0.165341972
39,0.166985976,0,0.050028937,0.004336224,0.007259594,0.4,0.003400767,0.232011499
40,0.222335171,0,0.018193159,0.005601975,0.011381811,0.4,0.002633882,0.260145998
41,0.436470396,0.018614224,0.076747487,0.006040586,0.010575594,0.4,0,0.548448286
42,0.156304067,0,0.030091416,0.008772175,0.005362815,0.4,0,0.200530473
45,0.131904037,0,0.117575124,0.014765703,0.032084182,0.4,0.001386765,0.297715812
46,0.265794592,0.013476569,0.053012751,0.004488046,0.009402783,0.4,0.005676619,0.35185136
47,0.312126072,0,0.039257098,0.005020671,0.009596721,0.4,0.003858187,0.36985875
49,0.096116065,0,0.013193381,0.00298213,0.010582837,0.4,0.004809109,0.127683523
51,0.308044114,0,0.183648393,0.007377766,0.00878576,0.4,0.004014251,0.511870283
56,0.162371573,0.008261108,0.099715544,0.007089308,0.012146403,0.4,0.011064402,0.300648338
57,0.231427006,0,0.050207626,0.006304716,0.009922252,0.4,0.007658201,0.305519801
61,0.241545553,0,0.04449697,0.008835472,0.009557397,0.4,0.003424342,0.307859734
62,0.312368171,0,0.057195913,0.007365519,0.015519316,0.4,0.006063731,0.398512651
64,0.150786639,0,0.136859623,0.010693572,0.019923838,0.4,0.004452333,0.322716005
67,0.087891049,0,0.045952685,0.003337004,0.008857395,0.4,0.011688489,0.157726621
68,0.317429447,0,0.042554569,0.004834034,0.006883454,0.4,0.008109303,0.379810807
69,0.270271427,0,0.085675029,0.007224988,0.017997044,0.4,0.010829265,0.391997753
72,0.216418852,0,0.072248878,0.004231651,0.00919351,0.4,0.007815926,0.309908818
74,0.396461678,0.000882044,0.025502035,0.003416943,0.038271604,0.4,0.004612385,0.469146688
77,0.101624504,0.01308794,0.031682663,0.006966834,0.007982228,0.4,0.005742996,0.167087166
79,0.202436937,0,0.042604169,0.003797782,0.008729646,0.4,0.012824733,0.270393267
