Pop_ID,Population,Row,Column,Block,Family,Replicate,Comment,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
MW028,28,9,1,1,1,5,Flowers all eaten or fell off so no follicles,13,3.11,1.44,7.31,3.16,6.18,5.76,0,2.67,1.76,6.56,3.23,6.26,6.38,1,2.91,1.72,6.54,3.18,5.48,5.77,0,6,3.34,1.69,7.21,3.34,5.97,5.77,0,3.07,1.87,7.23,3.81,6.57,5.89,1,2.68,1.57,5.86,3.16,5.9,6.21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW029,29,7,46,2,5,2,NA,14,4.29,2.43,7.06,4.04,8.6,8.24,1,4.53,2.43,6.26,3.77,7.69,8.42,0,4.14,2.33,6.78,3.79,8.53,8.63,0,12,4.39,2.37,6.3,2.9,8.43,8.34,3,4.98,2.47,4.63,3.01,8.25,8.41,4,4.93,2.61,6.04,3.38,8.4,8.4,3,6,5.12,2.67,7.31,3.98,7.31,7.13,0,4.64,2.16,5.35,3.07,5.5,5.66,2,5.12,2.68,6.68,4.08,8.77,8.74,2
MW030,30,7,40,2,4,4,NA,61,4.32,2.49,9.02,4.28,9.08,9.18,3,4.76,2.53,8.83,4.32,9.35,9.55,1,4.95,2.55,9.58,4.1,9.7,9.13,2,29,5.02,2.31,7.93,4.05,9.65,9.58,2,4.75,2.36,8.33,3.9,9.3,9.33,2,4.22,2.44,8.54,4.64,9.46,9.67,3,40,4.58,2.4,7.4,4.24,9.06,9.46,3,5.1,2.48,8.81,3.57,9.15,8.97,0,4.57,2.12,9.52,4.21,9.45,9.48,2
MW031,31,16,7,3,1,2,NA,4,4.67,2.17,6.62,3.85,9.02,9.27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5.06,2.27,6.95,3.8,7.77,8.17,0,4.92,2.27,6.47,3.95,8.63,8.48,1,4.19,2.25,5.45,4.08,6.45,6.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW031,31,3,34,2,1,3,NA,44,5.84,2.22,8.54,3.84,9.56,9.22,2,5.77,2.3,7.42,3.72,9.51,9.26,3,5.62,2.29,8.12,3.72,9.33,9.2,0,35,6.32,2.12,8.32,4.14,10.19,10.16,5,6.51,2.21,8.24,3.95,8.13,8.3,0,4.97,2.14,7.26,4.1,9.57,8.72,1,11,6.31,2.65,8.52,3.83,7.02,7.27,0,6.6,2.31,8.91,4.27,8.96,8.45,0,8.43,2.32,8.37,4.29,6.57,6.43,0
MW031,31,21,3,3,1,4,NA,11,3.62,2.33,7.07,4.06,8.77,8.68,0,3.25,2.08,8.13,4,8.25,8.41,0,3.48,2.03,7.28,3.76,8.7,8.67,0,4,3.79,1.83,6.37,4.14,8.05,7.96,0,4.34,2.28,6.7,3.37,7.41,7.44,3,4.88,1.95,7.21,3.93,7.51,7.45,0,26,3.32,1.9,7.02,3.88,7.61,7.51,2,4.39,1.52,7.71,3.83,6.88,6.68,0,3.73,1.81,7.8,3.62,7.28,7.43,1
MW031,31,11,46,4,1,5,NA,5,4.02,1.92,9.04,4.61,7.65,8.23,0,4.03,2.21,9.06,4.36,10.02,9.63,1,3.89,2.05,8.22,4.29,9.12,8.58,0,10,4.65,1.72,7.45,4.03,6.14,6.08,0,4.88,2.11,7.92,4.13,8.03,8.14,0,4.9,1.93,8.31,4.09,7.41,7.91,2,31,4.18,2.21,7.81,4.23,6.86,6.62,1,4.37,1.75,7.42,4.06,8.24,8.27,1,4.99,1.96,7.27,3.52,9.13,9.18,5
MW032,32,4,27,2,1,2,NA,14,3.94,2.32,7.05,4.39,8.18,8.11,0,3.54,2.33,7.18,3.57,8.72,8.69,3,3.81,2.58,7.51,4.34,8.51,8.47,3,23,3.87,2.1,6.1,3.68,7.62,8.11,2,3.45,2.49,7.54,3.51,7.26,7.73,2,3.35,2.19,6.73,3.3,7.39,7.02,1,11,4.27,2.49,6.87,3.77,7.85,7.92,3,4.47,2.36,6.43,2.9,7.72,8.02,1,4.35,2.6,7.6,4.38,8.1,7.93,3
MW035,35,14,16,3,2,5,NA,2,6.31,2.24,7.74,4.19,8.22,8.41,4,5.9,2.45,7.81,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW035,35,14,12,3,3,1,NA,6,4.31,2.21,7.77,3.73,9.85,9.62,3,5.3,2.31,8.41,3.91,9.38,8.93,2,5.23,2.27,8.26,3.69,8.73,9.35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW035,35,12,33,4,5,2,NA,73,4.75,1.97,8.51,4.29,9,9.07,0,4.63,2.11,9.02,4.67,9.16,9.23,0,4.11,2.04,8.75,4.6,7.98,7.99,0,41,4.39,2.01,8.02,4.46,8.07,7.82,2,5.18,2.21,8.49,4.6,8.78,8.82,1,4.31,2.23,9.36,4.65,9.3,9.12,3,54,4.53,2.22,8.74,4.51,9.51,9.55,2,4.98,2.59,8.92,4.94,9.34,9.65,0,4.47,2.34,9.4,4.4,9.28,9.3,3
MW036,36,3,20,1,2,2,NA,11,3.87,2.19,8.07,3.96,7.12,7.79,1,3.58,2.15,6.98,4.06,7.36,7.71,0,3.24,1.96,7.31,3.92,7.5,7.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW036,36,9,30,2,4,1,NA,1,3.38,2.05,5.19,4.05,6.99,7.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW036,36,4,37,2,5,3,NA,32,3.86,2.43,9.77,4.23,10.09,10.14,4,4.1,2.48,9.54,3.95,10.77,10.26,2,4.44,2.1,8.57,3.86,9.35,9.44,2,19,4.82,1.93,7.07,3.42,8.42,8.34,2,5.2,2.14,7.61,3.64,7.62,7.75,0,4.24,2.04,9.36,3.68,7.86,8.23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW039,39,7,29,2,2,5,NA,36,3.43,2.26,7.83,4.46,8.02,7.83,1,3.3,2.3,6.73,4.5,8.04,8.22,0,3.13,2.39,7.61,4.41,8.19,8.2,0,50,3.22,2.17,6.92,4.29,7.77,7.91,3,3.04,2.13,7.17,4.57,7.82,8.13,1,3.35,1.99,6.82,4.17,8.49,8.13,2,35,3.41,2.1,6.66,4.3,7.81,7.69,0,3.14,1.91,5.35,4.26,8.22,8.06,3,3.43,1.97,5.66,3.83,7.08,7.38,0
MW039,39,11,23,1,5,1,NA,3,4.28,2.08,5.69,4.04,8.25,8,0,3.93,2.24,6.37,4.07,7.95,8.18,8,4.22,2.49,5.84,3.94,7.99,8.03,0,2,3.99,2.05,6.23,3.42,6.76,6.75,1,3.4,1.62,5.88,3,5.91,5.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW039,39,13,37,4,5,4,Small inflor almost all eaten check second flow for measurments,12,3.34,1.56,5.02,2.9,5.94,6.38,0,3.93,2.1,6.26,3.93,6.99,7.43,1,NA,NA,NA,NA,NA,NA,NA,7,4.5,2.04,7.63,3.66,4.68,6.46,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.84,1.87,7.06,3.45,6.76,6.35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW040,40,11,35,4,3,2,NA,32,4.27,2.45,9.18,3.8,9.03,8.99,0,4.29,2.55,9.49,4.57,9.03,9.1,0,4.39,2.45,9.3,4.37,8.14,8.06,2,19,3.77,2.68,6.72,3.94,8.22,8.51,1,4.89,2.52,6.27,3.91,8.65,8.79,1,4.32,2.38,7.57,4.03,7.99,8.47,0,17,4.06,2.53,6.98,4.17,8.08,7.97,3,4.24,2.39,6.86,4.53,7.92,8.02,0,4.44,2.42,6.77,4.48,7.38,7.67,1
MW040,40,15,41,4,3,3,NA,26,4.43,2.21,7.75,3.81,8.43,8.13,2,4.39,2.21,7.06,3.77,8.64,8.83,1,4.23,2.18,6.54,4.01,8.37,8.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW040,40,4,38,2,5,3,NA,25,4.47,1.99,7.37,3.7,9.03,9.25,1,3.64,1.98,7.18,3.81,7.88,7.44,0,3.54,1.59,7.47,3.55,8.99,8.89,0,15,4.04,2.18,7.72,3.96,8.83,8.82,3,4.82,2.18,8.17,3.66,9.51,9.33,2,4.19,1.91,7.99,3.68,8.72,8.62,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW046,46,10,22,1,1,1,NA,20,4.27,2.32,4.83,3.88,8.28,8.25,0,4.39,2.16,6.02,4.18,10.12,10.28,1,4.03,2.3,6.61,3.34,10.33,10.19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW046,46,3,42,2,2,2,NA,21,4.14,2.42,7.42,3.7,8.68,8.38,1,4.08,2.32,7.8,4.12,9.83,9.78,5,3.86,2.34,7.61,4.42,4.44,9.5,5,17,3.98,2.29,7.3,4.36,9.64,9.59,1,4.74,2.51,7.89,4.43,10.18,10.21,2,3.57,2.26,7.36,4.37,10.38,10.33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW046,46,17,8,3,3,4,NA,9,3.12,1.69,5.24,3.64,7.53,6.92,2,3.34,1.95,4.93,3.18,8.23,7.87,2,3.8,1.88,5.12,3.85,7.5,7.4,1,19,3.49,1.64,4.83,3.41,7.11,6.84,1,3.02,1.89,3.81,3.52,7.05,6.91,1,2.84,1.81,4.09,3.13,6.78,6.93,1,21,3.58,1.85,5.35,4.05,6.85,6.79,2,3.37,1.94,4.29,3.91,6.31,5.98,1,3.42,1.9,4.79,3.08,5.85,6.2,0
MW046,46,4,46,2,4,1,NA,3,3.9,2.6,8.48,3.57,8.2,8.08,2,4.06,2.26,8.54,3.24,8.47,7.98,4,4.41,2.27,7.75,3.7,8.25,8.86,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW046,46,5,18,1,5,3,NA,36,4.89,2.02,8.11,3.69,8.68,8.56,2,4.91,1.96,8.79,4.15,7.95,8.12,0,3.96,2.13,7.96,3.84,7.71,7.96,0,35,5.1,2.1,9.64,3.52,9.39,9.08,1,4.87,2.25,9.1,3.99,9.39,9.42,2,5.16,2.19,9.05,3.35,9.23,8.57,1,20,5.1,1.89,8.52,3.42,7.53,6.99,0,4.94,2.03,7.3,3.25,5.81,5.69,0,5.13,2.04,8.83,3.73,7.28,7.82,3
MW047,47,5,16,1,1,5,NA,6,4.6,1.99,6.95,3.56,7.03,7.31,2,3.84,1.31,8.03,3.35,6.81,6.89,0,4.34,1.85,8.62,3.53,7.12,7.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW047,47,2,40,2,2,4,NA,14,4.32,2.41,5.57,3.9,6.96,6.31,0,4.09,2.7,5.75,3.67,8.24,8.82,0,4.46,2.44,7.26,3.48,6.59,6.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW049,49,13,26,4,1,2,NA,9,5.31,2.22,9.13,4.4,7.96,7.98,2,5.09,2.72,8.04,3.41,8.11,7.7,1,5.23,2.05,7.91,3.89,6.35,6.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW049,49,3,39,2,5,3,NA,27,5.41,2.09,7.65,3.81,6.76,6.8,0,4.84,2.16,8.62,3.37,6.9,6.8,0,5.55,2,6.63,4.08,6.12,6.43,0,4,5.16,2.08,7.13,3.37,7.53,7.64,3,5.47,2.3,8.32,4.55,8.74,7.93,1,4.67,2.12,8.58,3.88,7.93,7.66,1,3,5.57,2.14,6.62,4.15,6.4,6.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW051,51,4,34,2,4,3,NA,26,4.29,2.14,8.14,3.75,8.96,9.34,2,4.25,2.14,8.72,4.34,9.84,9.75,2,4.99,2.23,8.25,3.87,9.3,9.15,4,25,4.85,2.29,7.92,4.08,7.66,7.92,2,4.78,2.13,7.94,4.17,7.92,8.12,0,4.4,2.41,7.3,4.2,7.75,8.1,0,25,5.05,2.1,8.24,4.16,8.6,8.62,5,5.18,2.06,7.21,4.38,8.56,8.82,2,4.94,2.11,8.73,3.92,8.08,8.05,3
MW057,57,10,37,2,1,1,NA,33,4.53,2.23,6.06,3.56,8.32,8.56,2,4.47,2.36,6.76,3.19,7.89,8.46,5,4.51,2.2,6.58,3.27,8.41,8.5,2,36,3.92,2.17,6.28,3.43,8.71,8.08,2,3.68,2.15,6.4,3.45,8.43,9.12,2,4.39,2.32,6.13,3.38,8.88,8.76,3,11,4.9,2.01,7.99,3.85,8.27,8.11,2,4.06,1.96,5.5,3.19,7.56,6.6,0,4.56,2.09,7.34,3.59,7.96,7.74,1
MW057,57,8,2,1,1,2,Flowers all eaten or fell off so no follicles,1,4.08,2.34,7.76,4.84,8.29,8.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4.8,2.01,7.53,4.11,8.74,8.79,1,3.71,1.96,5.88,4.2,7.99,8.16,1,3.61,2.22,6.36,4.41,8.61,8.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW057,57,7,34,2,4,5,NA,17,3.59,2.17,7.95,4.36,10.14,10.07,5,3.9,2.17,8.44,3.71,9.47,9.09,5,3.42,2.16,7.9,4.38,9.83,10.13,3,24,3.94,2.29,7.77,4.33,9.67,9.54,4,3.74,2.26,9.27,4.39,10.15,10.15,4,3.93,2.27,8.85,4.13,9.26,9.13,1,26,3.38,2.29,7.31,4.15,10.17,9.89,4,3.49,2.09,8.05,3.99,9.98,9.39,2,3.62,2.43,9.79,4.28,9.83,9.78,5
MW061,61,10,28,2,4,1,NA,60,4.75,1.85,9.4,4.1,8.73,8.3,2,3.55,1.98,9.24,4.04,8.26,8.55,1,4.21,2.11,8.38,3.98,8.09,8.29,1,42,5.13,1.97,8.68,4.16,8.42,8.33,2,4.38,2.08,8.03,4.61,8.68,8.55,1,4.23,2.64,8.66,4.09,8.42,8.79,1,60,5.24,2.27,9.63,4.19,10.24,10.39,3,4.75,2.3,9.33,4.35,9.88,9.78,0,4.73,2.15,9.94,4.33,9.57,10,5
MW064,64,2,41,2,1,3,NA,10,3.85,2.39,7.73,4.95,8.73,8.49,0,3.99,2.15,8.66,4.27,9.16,9.03,0,4.28,2.57,7.75,4.86,8.47,8.46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW064,64,7,38,2,3,4,NA,8,5.18,2.43,8.36,3.94,8.14,8.23,1,4.38,2.2,6.95,3.74,7.5,7.83,1,4.54,2.48,6.94,3.75,7.31,7.17,2,17,4.69,2.61,8.8,4.35,9.95,10.06,3,3.83,2.22,7.73,3.81,8.95,9.46,1,4.48,2.44,8.26,4.02,8.81,9.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW064,64,9,25,2,5,3,NA,29,4.51,1.98,7.09,3.78,8.94,8.99,4,4.42,2.22,7.75,3.64,8.32,8.94,3,4.59,1.98,7.87,3.68,8.5,8.65,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW068,68,7,16,1,1,5,NA,1,4.71,2.13,7.69,3.87,7.07,7.36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.69,2.15,8.54,3.74,7.02,7.51,1,5.35,2.3,8.87,4.47,6.56,6.8,0,NA,NA,NA,NA,NA,NA,NA,1,5.24,2.27,9.57,4.35,7.14,7.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW068,68,11,36,4,5,4,NA,29,4.53,2.18,7.88,3.81,7.75,8.05,3,4.37,2.36,6.92,3.46,7.87,7.66,2,4.67,2.17,6.26,3.7,8.13,7.49,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW072,72,2,33,2,1,2,second inflor eaten,35,4.53,1.96,7.81,4.28,7.22,6.49,0,4.47,1.94,8.44,3.67,7.31,7.39,0,3.96,2.03,8.39,4.73,8.18,7.77,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW072,72,9,19,1,3,1,NA,30,4.65,2.41,8.03,4.12,8.58,8.26,0,4.91,2.58,8.07,4.55,9.52,9.57,1,4.53,2.19,7.3,4.17,9.06,8.59,1,29,3.57,2.03,6.52,3.88,9.46,9.44,1,4.51,2.32,8.32,3.93,6.63,8.88,2,4.12,2.43,7.27,3.23,8.42,8.12,0,7,3.72,2.27,7.2,3.87,5.9,5.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW077,77,16,4,3,2,1,NA,2,3.92,2.41,6.4,4.55,8.67,8.56,0,4.62,2.37,6.94,3.91,8.54,8.74,0,NA,NA,NA,NA,NA,NA,NA,19,3.78,2.28,8.39,4.35,9.38,9.13,0,4.42,2.69,8.29,4.26,8.48,8.05,0,4.24,2.59,6.05,4.55,7.62,7.46,0,9,4.15,2.33,6.29,4.13,9.54,9.41,1,4,1.99,6.54,3.84,8.86,8.93,0,3.99,2,7.5,3.91,8.8,8.86,0
MW077,77,2,39,2,2,2,NA,23,3.92,1.74,7.97,3.79,9.06,9.25,0,3.46,1.95,7.7,3.87,10.25,9.81,0,4.08,2.05,8.05,3.98,9.93,9.33,0,32,4.41,1.85,7.55,3.75,9.29,9.71,3,4.29,2,6.98,4.12,10,9.39,2,4.08,1.97,8.77,3.75,9.94,9.84,2,28,3.8,2,7.81,3.92,9.67,9.16,1,4.37,2.05,6.58,3.92,8.55,8.34,1,4.4,2.15,7.86,3.77,9.42,8.9,1
MW077,77,3,28,2,3,2,NA,4,3.83,2.31,5.03,3.78,8.91,9.22,1,4.11,2.22,5.06,3.95,9.22,9.41,2,3.46,2.11,4.76,3.44,9.34,9.46,3,28,4.54,2.22,6.07,3.72,7.86,8.83,5,4.31,2.21,6.86,3.83,8.88,8.86,1,4.28,2.1,6.68,4.31,9.21,9.28,2,26,4.01,2.1,5.23,3.52,8.55,8.81,3,3.24,2.14,5.91,3.18,8.78,9.37,4,3.32,1.97,5.06,3.69,8.27,8.68,1
MW077,77,8,34,2,4,3,NA,2,4,2.37,7.37,4,8.76,8.74,2,3.79,2.06,7.28,3.88,7.61,7.39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW077,77,13,9,3,4,4,NA,12,4.45,2.28,7.54,3.62,8.76,8.48,2,3.93,2.02,6.73,3.83,8.71,8.23,1,4.28,2.42,6.09,4.21,9.47,9.16,5,10,4.14,2.16,6.85,5.13,9.42,9.57,3,4.28,2.34,7.73,4.27,9.31,9.17,3,3.98,2.13,7.55,3.84,8.79,8.73,3,15,3.61,1.93,6.71,3.75,9.79,8.95,3,3.81,2.04,5.73,3.81,9.37,8.62,2,3.81,2.12,6.04,3.86,8.09,8.14,2
MW077,77,5,39,2,5,1,NA,1,3.82,2.29,7.39,3.42,9.08,9.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4.1,1.88,8.61,3.6,10.6,10.43,4,4.47,2.39,7.88,3.47,10.05,10.31,1,4.27,1.97,8.42,3.38,9.75,9.76,1,17,3.01,1.91,4.23,2.54,9.51,9.46,1,3.57,2.28,6.82,3.08,9.85,9.97,1,3.09,2.08,6.66,3.02,8.42,8.89,0
MW077,77,3,35,2,5,5,NA,52,4.11,2.92,9.06,4.21,10.49,11.09,1,4.99,2.64,9.31,3.49,8.34,9.37,0,5.96,2.41,8.54,4.14,11.88,11.63,4,36,6.09,2.49,9.01,3.98,8,8.18,0,4.47,2.62,8.85,4.06,11.88,11.85,0,6.02,2.3,8.38,3.57,9.51,8.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW079,79,20,32,4,1,2,NA,21,3.87,2.22,8.22,3.98,7.8,7.8,0,3.85,2.36,7.41,4.36,7.49,7.4,0,3.52,2.36,9,4.04,8.15,8.03,1,19,3.85,2.17,7.8,3.71,7.71,7.75,2,3.37,2.06,7.55,4.18,7.31,7.47,0,3.22,2.15,6.7,3.77,7.34,7.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW079,79,2,45,2,5,2,3rd flower too eaten,8,4.91,2.12,6.57,3.75,6.41,6.54,0,4.1,1.87,4.85,2.95,5.55,5.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
