Pop_ID,Population,Row,Column,Block,Family,Replicate,Comment,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
MW004,4,8,32,2,3,3,NA,9,4.19,2.06,8.04,3.8,9.85,9.9,0,3.17,1.8,7.43,3.86,7.73,8.92,0,3.62,2.03,6.81,3.97,9.36,9.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW005,5,15,37,4,1,1,NA,45,5.47,2.21,6.86,3.83,7.04,7.02,0,5.38,2.07,8.02,3.95,7.91,8.13,1,5.05,2.42,7.6,3.84,7.94,8.08,0,36,5.45,2.41,7.47,4.11,7.64,7.25,0,4,2.23,7.84,4.36,7.7,7.78,1,5.44,2.2,5.86,4.56,6.86,6.96,0,35,5.3,2.05,7.79,4.11,7.06,7.04,0,5.14,2.1,7.84,4.2,7.55,7.56,2,4.96,2.3,7.57,4.26,8.01,7.76,0
MW005,5,6,27,2,5,3,NA,32,4.98,2.09,7.89,3.7,8.07,8.22,3,4.13,2.1,8.71,4.07,8.71,8.41,3,4.76,2.34,8.82,3.91,8.22,7.96,5,36,4.33,2.03,8.23,3.78,7.61,7.16,2,5.27,2.27,7.78,4.37,7.67,7.68,2,4.92,2.04,8.71,3.47,7.23,7.99,4,22,4.08,2.18,9.64,3.87,8.06,8.15,1,5.11,2.25,7.76,3.81,8.21,8.36,3,4.44,2.1,7.27,3.74,8.25,8.26,2
MW006,6,14,27,4,5,2,NA,20,4.98,2.36,7.38,3.57,7.87,7.76,0,4.38,2.23,7.99,3.63,7.8,7.55,2,5.22,2.34,7.82,3.68,7.9,7.8,1,11,4.17,1.95,7.08,3.56,5.22,6.01,3,4.32,2.08,7.95,3.66,6.95,6.97,0,4.45,2.17,7.25,3.38,7.12,7.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW007,7,1,39,2,4,2,NA,20,3.19,2.33,5.16,4.14,6.61,7.02,0,3.52,2.22,6.99,4.39,7.43,7.69,0,4.04,2.3,7.14,3.98,6.98,7.29,0,16,3.79,2.38,6.86,4.49,8.48,8.47,0,3.83,2.26,6.9,4.43,7.63,7.81,0,3.67,2.29,7.7,3.94,6.22,6.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW007,7,4,36,2,5,5,NA,29,3.52,2.41,9.73,4.05,10.55,10.45,4,4.17,2.44,8.69,4.3,9,8.63,4,4.23,2.75,10.06,4.18,8.44,8.46,5,30,4.11,2.12,9.11,3.9,9.16,9.3,4,4.7,2.25,8.21,4.01,7.72,8.26,3,4.43,2.45,9.11,3.71,10.16,9.81,3,25,4.99,2.14,9.38,4.14,10.17,10.13,2,4.4,2.14,9.04,3.75,9.34,9.12,4,4.52,2.02,9.27,3.77,8.95,9.22,1
MW008,8,5,6,1,3,5,NA,8,3.09,2.29,8.57,3.7,8.82,8.57,0,3.39,2.17,8.26,4.4,9.48,9.49,0,3.77,2.3,6.72,4.61,8.69,8.61,0,17,2.96,2.25,6.68,4.56,9.11,9.08,4,3.27,2.31,7.36,4.38,8.72,8.88,1,4,2.37,7.41,4.12,9.03,8.57,3,12,3.73,2.46,7.52,3.98,8.74,8.85,1,4.45,2.25,6.03,4.76,9.37,9.32,0,3.63,2.04,5.37,4.24,8.88,9.35,0
MW011,11,5,7,1,1,2,NA,14,3.94,1.95,7.56,3.9,7.06,7.11,1,3.67,1.84,8.55,3.68,7.16,7.31,1,4.12,2.01,7.11,4.25,6.73,7.03,3,12,3.75,1.48,7.79,3.6,6.34,6.08,1,3.49,2,8.36,3.87,7.36,7.71,4,4.12,2.1,6.66,4.28,7.76,7.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW011,11,11,3,1,1,3,NA,22,3.49,2.3,9.46,4.06,9.05,9.24,1,3.82,2.5,8.08,4.03,10.09,10.03,0,3.92,2.52,9.44,4.03,10.32,10.04,2,2,3.3,2.35,7.53,4.57,9.2,9.21,1,4.35,2.24,7.63,4.52,9.6,9.2,0,NA,NA,NA,NA,NA,NA,NA,9,3.3,2.17,7.04,4.35,7.63,7.53,0,3.05,2.15,7.73,4.01,8.53,9,2,4.09,2.13,8.11,4.51,8.86,8.83,2
MW011,11,18,17,3,1,5,NA,7,4.02,2.31,6.9,4.19,7.46,7.62,1,4.15,2.88,7.31,3.29,7.89,7.67,5,3.88,1.95,7.38,4.011,7.55,7.51,5,12,4.47,2.22,7.94,4.11,7.4,8.09,0,3.9,2.25,7.38,4.42,7.68,6.84,3,3.77,2.14,6.87,3.8,7.5,7.59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
