"","latex_mods1.R2m","latex_mods1.R2c","latex_mods2.R2m","latex_mods2.R2c","latex_mods3.R2m","latex_mods3.R2c","latex_mods4.R2m","latex_mods4.R2c","herb_early_mods_binomial1.R2m","herb_early_mods_binomial1.R2c","herb_early_mods_binomial2.R2m","herb_early_mods_binomial2.R2c","herb_early_mods_binomial3.R2m","herb_early_mods_binomial3.R2c","herb_early_mods_binomial4.R2m","herb_early_mods_binomial4.R2c","herb_early_mods_quant1.R2m","herb_early_mods_quant1.R2c","herb_early_mods_quant2.R2m","herb_early_mods_quant2.R2c","herb_early_mods_quant3.R2m","herb_early_mods_quant3.R2c","herb_early_mods_quant4.R2m","herb_early_mods_quant4.R2c","herb_late_mods_binomial1.R2m","herb_late_mods_binomial1.R2c","herb_late_mods_binomial2.R2m","herb_late_mods_binomial2.R2c","herb_late_mods_binomial3.R2m","herb_late_mods_binomial3.R2c","herb_late_mods_binomial4.R2m","herb_late_mods_binomial4.R2c","herb_late_mods_quant1.R2m","herb_late_mods_quant1.R2c","herb_late_mods_quant2.R2m","herb_late_mods_quant2.R2c","herb_late_mods_quant3.R2m","herb_late_mods_quant3.R2c","herb_late_mods_quant4.R2m","herb_late_mods_quant4.R2c","weev_mods_binomial1.R2m","weev_mods_binomial1.R2c","weev_mods_binomial2.R2m","weev_mods_binomial2.R2c","weev_mods_binomial3.R2m","weev_mods_binomial3.R2c","weev_mods_binomial4.R2m","weev_mods_binomial4.R2c","weev_mods_quant1.R2m","weev_mods_quant1.R2c","weev_mods_quant2.R2m","weev_mods_quant2.R2c","weev_mods_quant3.R2m","weev_mods_quant3.R2c","weev_mods_quant4.R2m","weev_mods_quant4.R2c"
"theoretical",0.0368110198498454,0.1192012611534,0.0453175449628655,0.117529283795154,0.0434047578958758,0.144922226392333,0.0599838233876076,0.140998286417357,0.0177929343382796,0.0178091136017933,0.0137727176553989,0.0175381636248326,0.0163545717120388,0.0163545730835361,0.0192961746511081,0.0192961756292742,0.0103320832085395,0.0103320906990033,0.016211145871973,0.0162111496690541,0.00103166739728015,0.00103166937682299,0.00182369796153765,0.00182369986578842,0.113208978106433,0.217742573026388,0.114624331248665,0.213405876926431,0.215253033508543,0.348778229256259,0.208067238467963,0.338383048194104,0.00681037729168417,0.0303527820708986,0.00517521867090665,0.0285378139726785,0.00850672271096152,0.0496053427981116,0.0183413311889542,0.0539594593626045,0.0394315412680374,0.111649728963098,0.0381037578861952,0.112015406888275,0.0438332924114808,0.129100523000574,0.0483383642815902,0.133601138017642,0.0232005529105397,0.0806648132318469,0.0211205362671191,0.0811285721675839,0.0179911112487201,0.141391393640236,0.0176880004877001,0.141420781490726
"delta",0.0368110198498454,0.1192012611534,0.0453175449628655,0.117529283795154,0.0434047578958758,0.144922226392333,0.0599838233876076,0.140998286417357,0.0145811783170477,0.0145944371040385,0.0112860784350309,0.0143716799566189,0.0132482672548231,0.0132482683658251,0.0156400406237057,0.0156400414165342,0.0103320832085395,0.0103320906990033,0.016211145871973,0.0162111496690541,0.00103166739728015,0.00103166937682299,0.00182369796153765,0.00182369986578842,0.0182597658306085,0.0351202569029292,0.0184024867321308,0.0342614763891427,0.0432398012555013,0.0700622010731745,0.0412698862240656,0.0671178701748063,0.00681037729168417,0.0303527820708986,0.00517521867090665,0.0285378139726785,0.00850672271096152,0.0496053427981116,0.0183413311889542,0.0539594593626045,0.0273011493034008,0.0773027333470368,0.0263851754007115,0.077565739504134,0.0306021637519912,0.0901313847986579,0.0338000993666191,0.0934192086886462,0.0232005529105397,0.0806648132318469,0.0211205362671191,0.0811285721675839,0.0179911112487201,0.141391393640236,0.0176880004877001,0.141420781490726
