"","variable","p","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","Overall_mean",0.003,0.063,0.063,0.063,0.063,0.063,0.229657598400052
"2","Latex",0.023,0.483,0.126,0.46,0.437,0.368,0.459315196800104
"3","flowering_time_num",0.023,0.483,0.126,0.46,0.437,0.368,0.459315196800104
"4","Peduncles",0.027,0.567,0.126,0.486,0.486,0.432,0.459315196800104
"5","log(Scar_length_cm)",0.03,0.63,0.126,0.51,0.51,0.456,0.459315196800104
"6","log(SLA + 1)",0.044,0.924,0.154,0.704,0.704,0.616,0.56138524053346
"7","Herbivory_mean_early_quant",0.062,1,0.186,0.93,0.911,0.682,0.678036719085868
"8","log(Herbivory_mean_late)",0.111,1,0.266,1,0.911,0.849142857142857,0.969665415466886
"9","Pods",0.114,1,0.266,1,0.911,0.849142857142857,0.969665415466886
"10","Ramets_early",0.169,1,0.3549,1,0.911,0.8916,1
"11","Flowered",0.281,1,0.50225,1,0.911,0.911,1
"12","rel_growth_rate^(1/3)",0.287,1,0.50225,1,0.911,0.911,1
"13","Total_Height_late^(1/3)",0.348,1,0.5292,1,0.911,0.911,1
"14","Total_Height_early^(1/3)",0.363,1,0.5292,1,0.911,0.911,1
"15","Ramets_late",0.378,1,0.5292,1,0.911,0.911,1
"16","log(LDMC)",0.421,1,0.549705882352941,1,0.911,0.911,1
"17","Herbivory_mean_late_binary",0.445,1,0.549705882352941,1,0.911,0.911,1
"18","Overall_mean",0.533,1,0.621833333333333,1,0.911,0.911,1
"19","Herbivory_mean_early_binary",0.645,1,0.712894736842105,1,0.911,0.911,1
"20","Julian_oldest_inflor",0.743,1,0.78015,1,0.911,0.911,1
"21","Scar_binary",0.911,1,0.911,1,0.911,0.911,1
"22","c(""mean_flower_count"", ""mean_flower_count"")",NA,NA,NA,NA,NA,NA,NA
