Row,Column,Block,Population,Family,Replicate,Date,Surveyor,Comment,Scar_length_mm,Height_cm_ram1,Height_cm_ram2,Height_cm_ram3,Height_cm_ram4,Height_cm_ram5,Height_cm_ram6,Height_cm_ram7,Height_cm_ram8,Height_cm_ram9,Height_cm_ram10,Height_cm_ram11,Height_cm_ram12,Height_cm_ram13,Height_cm_ram14,Height_cm_ram15,Height_cm_ram16
1,33,2,13,1,5,7/3/2021,Samer,,0,15.4,23.2,,,,,,,,,,,,,,
1,34,2,13,2,3,7/3/2021,Samer,,15.73,17.1,17.1,30,,,,,,,,,,,,,
1,35,2,19,3,2,7/3/2021,Samer,,0,32.1,23.2,20.8,19.8,6.4,6.4,,,,,,,,,,
1,36,2,30,3,1,7/3/2021,Samer,,18.75,6.2,13.8,5.6,22.2,18.6,,,,,,,,,,,
1,37,2,18,1,2,7/3/2021,Samer,,165.39,40.6,30.6,26.5,10.6,32.2,29.8,,,,,,,,,,
1,38,2,31,5,1,7/3/2021,Samer,,30.37,15.4,30.3,,,,,,,,,,,,,,
1,39,2,7,4,2,7/3/2021,Samer,,58.08,41.4,,,,,,,,,,,,,,,
1,40,2,8,1,4,7/3/2021,Samer,,298.56,57.4,44.1,41.6,42.1,43.8,50,52.8,,,,,,,,,
1,41,2,23,1,5,7/3/2021,Samer,,71.14,35.2,36.2,37,5.1,,,,,,,,,,,,
1,42,2,4,1,3,7/3/2021,Samer,,80.17,26.5,23.5,19,,,,,,,,,,,,,
1,43,2,36,3,3,7/3/2021,Samer,,54.69,47.8,50.2,36.2,38.2,23.6,,,,,,,,,,,
1,44,2,30,4,5,7/3/2021,Samer,,0,25.2,7.2,15.4,,,,,,,,,,,,,
1,45,2,62,2,1,7/3/2021,Samer,,26.78,33.5,6.7,,,,,,,,,,,,,,
1,46,2,6,2,4,7/3/2021,Samer,,0,7.4,10.4,9.1,4.2,,,,,,,,,,,,
2,1,1,79,4,5,7/3/2021,Sophie,,216.5,15.1,50.2,53,39.5,42.2,45.1,41.6,44.5,,,,,,,,
2,2,1,6,2,5,7/3/2021,Sophie,,16.1,33.3,22.5,,,,,,,,,,,,,,
2,3,1,68,1,4,7/3/2021,Sophie,,145.7,18.3,13.9,13.3,23.9,13.4,43,,,,,,,,,,
2,4,1,39,2,1,7/3/2021,Sophie,,0,21.8,,,,,,,,,,,,,,,
2,5,1,49,3,5,7/3/2021,Sophie,,109.2,49,51.4,27.2,28.3,,,,,,,,,,,,
2,6,1,14,5,2,7/3/2021,Sophie,,46.4,9.3,6.1,17.5,23,18.6,28.3,1.1,,,,,,,,,
2,7,1,56,3,4,7/3/2021,Sophie,,0,11.3,,,,,,,,,,,,,,,
2,8,1,27,2,5,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
2,9,1,21,3,4,7/3/2021,Sophie,,58.6,10.2,16.6,21,1.2,,,,,,,,,,,,
2,10,1,14,2,2,7/3/2021,Sophie,,164.5,20.2,5.4,20.3,30.8,7,,,,,,,,,,,
2,11,1,72,2,1,7/3/2021,Sophie,,95.3,15.3,21.7,18,3.8,19.7,16.3,,,,,,,,,,
2,12,1,2,1,1,7/3/2021,Sophie,,115.44,8.8,16.3,13.2,20,20.2,,,,,,,,,,,
2,13,1,36,2,4,7/3/2021,Sophie,,41.5,15.1,29,7,30.1,,,,,,,,,,,,
2,14,1,35,2,1,7/3/2021,Sophie,,221.6,16.8,15,52,44.7,23.5,20.8,40.5,,,,,,,,,
2,15,1,15,3,4,7/3/2021,Sophie,,0,14.2,,,,,,,,,,,,,,,
2,16,1,40,2,2,7/3/2021,Sophie,,0,34.3,17.4,37.9,,,,,,,,,,,,,
2,17,1,46,1,5,7/3/2021,Sophie,,193,14,9.6,14.3,7.9,15,36.5,32.9,15.7,27,12.3,,,,,,
2,18,1,6,4,2,7/3/2021,Sophie,,213.2,12,19.7,19.6,11.3,13.3,29.5,32.5,44.8,35,8.3,4.6,3.3,,,,
2,19,1,9,1,3,7/3/2021,Sophie,,0,21,,,,,,,,,,,,,,,
2,20,1,18,5,1,7/3/2021,Sophie,,23,18.6,10.1,39.1,10.3,,,,,,,,,,,,
2,21,1,79,1,4,7/3/2021,Sophie,,119,56.2,11.2,9.9,23,36.7,29,44.4,4.5,36.7,38,38.4,,,,,
2,22,1,77,1,5,7/3/2021,Sophie,,70.1,11.3,25.8,18.1,5.3,14,33.6,,,,,,,,,,
2,23,1,31,4,2,7/3/2021,Sophie,,62.4,19.3,31.2,7,,,,,,,,,,,,,
2,24,2,47,2,3,7/3/2021,Sophie,,1.6,11.3,4,11.2,11.5,25.3,,,,,,,,,,,
2,25,2,68,5,3,7/3/2021,Sophie,,0,6.9,30.9,37.7,,,,,,,,,,,,,
2,26,2,28,1,4,7/3/2021,Sophie,,55.6,15.4,34.4,31.6,,,,,,,,,,,,,
2,27,2,14,3,5,7/3/2021,Sophie,,16.8,21.1,23.4,33,24.3,,,,,,,,,,,,
2,28,2,2,5,5,7/3/2021,Sophie,,53.4,24.1,58.2,52.6,19.5,11.2,10.2,,,,,,,,,,
2,29,2,42,2,2,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
2,30,2,41,1,1,7/3/2021,Sophie,,51.9,33,37.1,,,,,,,,,,,,,,
