"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-1663.40815163826,3334.81630327651,NA,NA,NA
"(1 | Family:Population)",3,-1663.98162070125,3333.96324140251,1.14693812599535,1,0.284191025497415
"(1 | Population)",3,-1663.49595614133,3332.99191228265,0.175609006142167,1,0.675174268868099
"Group","Variance","PVE"
"1","Family:Population",0.568964739643202,0.0378687946544682
"2","Population",0.123733549926619,0.00823537922047312
"3","Residual",14.3319346525317,0.953895826125059
"Chisq","Df","Pr(>Chisq)"
"Transect_ID",1.18315602956944,1,0.27671442600898
