,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,1570.311838,-3132.623677,NA,NA,NA
(1 | Family:Population),3,1568.015826,-3130.031652,4.592024646,1,0.03212105
(1 | Population),3,1570.207096,-3134.414193,0.209483784,1,0.64717231
,Group,Variance,PVE,,,
1,Family:Population,1.96E-05,0.077339228,,,
2,Population,2.18E-06,0.008614485,,,
3,Residual,0.000231796,0.914046287,,,
,Chisq,Df,Pr(>Chisq),,,
Transect_ID,9.116272462,1,0.002533457,,,
