,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-1885.887818,3779.775635,NA,NA,NA
(1 | Family:Population),3,-1887.888686,3781.777373,4.001737483,1,0.045453385
(1 | Population),3,-1886.800498,3779.600995,1.825359961,1,0.176676588
,Group,Variance,PVE,,,
1,Family:Population,0.245723158,0.056088439,,,
2,Population,0.097883362,0.022342725,,,
3,Residual,4.037388249,0.921568836,,,
