"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-2060.65868727629,4129.31737455259,NA,NA,NA
"(1 | Family:Population)",3,-2063.6971092731,4133.3942185462,6.07684399361369,1,0.0136965248855967
"(1 | Population)",3,-2060.8813445486,4127.76268909721,0.445314544621397,1,0.504568441922556
"Group","Variance","PVE"
"1","Family:Population",0.430277109155175,0.0724462294989808
"2","Population",0.0626889071413409,0.0105550001549443
"3","Residual",5.44629558683811,0.916998770346075
