,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-1532.004006,3072.008011,NA,NA,NA
(1 | Family:Population),3,-1535.106865,3076.21373,6.20571818,1,0.012733827
(1 | Population),3,-1532.164844,3070.329688,0.321676402,1,0.570601926
,Group,Variance,PVE,,,
1,Family:Population,0.148858835,0.076278264,,,
2,Population,0.019659644,0.010073997,,,
3,Residual,1.783005154,0.913647739,,,
