,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-2296.130877,4600.261754,NA,NA,NA
(1 | Family:Population),3,-2299.530615,4605.06123,6.799476168,1,0.009118462
(1 | Population),3,-2296.131344,4598.262688,0.000934564,1,0.975611951
,Group,Variance,PVE,,,
1,Family:Population,13.26019437,0.094021387,,,
2,Population,0.089565707,0.000635066,,,
3,Residual,127.6840491,0.905343547,,,
,Chisq,Df,Pr(>Chisq),,,
Transect_ID,0.669977612,1,0.413059413,,,
