"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-4996.58971031357,10001.1794206271,NA,NA,NA
"(1 | Family:Population)",3,-5000.71508269554,10007.4301653911,8.25074476394911,1,0.00407352843771954
"(1 | Population)",3,-4996.62380775144,9999.24761550288,0.0681948757464852,1,0.793983400049389
"Group","Variance","PVE"
"1","Family:Population",451.203818236338,0.0840849224350388
"2","Population",24.2228442191871,0.00451409295534713
"3","Residual",4890.6223885491,0.911400984609614
