"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,1707.1767799481,-3406.3535598962,NA,NA,NA
"(1 | Family:Population)",3,1707.09521631934,-3408.19043263868,0.163127257525048,1,0.686293496044956
"(1 | Population)",3,1707.17677995375,-3408.3535599075,-1.12954694486689e-08,1,1
"Group","Variance","PVE"
"1","Family:Population",2.21889011867268e-06,0.0133857427280823
"2","Population",0,0
"3","Residual",0.000163546294805852,0.986614257271918
"Chisq","Df","Pr(>Chisq)"
"Transect_ID",0.0690753938423966,1,0.792687792364443
