,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-5025.986784,10059.97357,NA,NA,NA
(1 | Family:Population),3,-5027.859597,10061.71919,3.74562663,1,0.052945871
(1 | Population),3,-5026.142007,10058.28401,0.310445507,1,0.577406933
,Group,Variance,PVE,,,
1,Family:Population,248.7509191,0.053573408,,,
2,Population,38.63527074,0.008320866,,,
3,Residual,4355.792758,0.938105726,,,
