,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-1292.470058,2592.940116,NA,NA,NA
(1 | Family:Population),3,-1294.650785,2595.30157,4.361453684,1,0.036760923
(1 | Population),3,-1292.785895,2591.571789,0.631672943,1,0.426742331
,Group,Variance,PVE,,,
1,Family:Population,0.338004263,0.0720091,,,
2,Population,0.075453122,0.016074683,,,
3,Residual,4.280453012,0.911916217,,,
,Chisq,Df,Pr(>Chisq),,,
Transect_ID,5.886967356,1,0.015253346,,,
