,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-1077.091872,2162.183744,NA,NA,NA
(1 | Family:Population),3,-1079.311647,2164.623295,4.439550115,1,0.0351155
(1 | Population),3,-1077.128777,2160.257553,0.073808703,1,0.785869948
,Group,Variance,PVE,,,
1,Family:Population,0.17864087,0.07912811,,,
2,Population,0.013029235,0.005771237,,,
3,Residual,2.065945691,0.915100654,,,
,Chisq,Df,Pr(>Chisq),,,
Transect_ID,2.957034123,1,0.085504649,,,
