,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-2879.145611,5766.291222,NA,NA,NA
(1 | Family:Population),3,-2881.536691,5769.073382,4.782160162,1,0.028756027
(1 | Population),3,-2879.145611,5764.291222,-5.24E-09,1,1
,Group,Variance,PVE,,,
1,Family:Population,71.78755486,0.070953927,,,
2,Population,0,0,,,
3,Residual,939.9613091,0.929046073,,,
,Chisq,Df,Pr(>Chisq),,,
Transect_ID,6.814385682,1,0.009042641,,,
