"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-3400.93890449325,6809.87780898651,NA,NA,NA
"(1 | Family:Population)",3,-3403.56730366391,6813.13460732781,5.25679834130551,1,0.021861198939637
"(1 | Population)",3,-3400.93890449367,6807.87780898735,8.3855411503464e-10,1,0.999976895019375
"Group","Variance","PVE"
"1","Family:Population",459.89582285113,0.0774064674646275
"2","Population",0,0
"3","Residual",5481.41422415869,0.922593532535372
"Chisq","Df","Pr(>Chisq)"
"Transect_ID",8.06702259955904,1,0.00450781277371153
