"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-979.942703825067,1967.88540765013,NA,NA,NA
"(1 | Family:Population)",3,-983.72204893189,1973.44409786378,7.5586902136456,1,0.0059721380767463
"(1 | Population)",3,-979.942703052309,1965.88540610462,-1.54551480591181e-06,1,1
"Group","Variance","PVE"
"1","Family:Population",0.152029635203904,0.0934181148052198
"2","Population",1.97976242001624e-08,1.21651066775294e-08
"3","Residual",1.47538099785623,0.906581873029674
"Chisq","Df","Pr(>Chisq)"
"Transect_ID",0.069809500004896,1,0.791614349875606
