,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-1820.740511,3649.481022,NA,NA,NA
(1 | Family:Population),3,-1822.188322,3650.376645,2.895622427,1,0.088820464
(1 | Population),3,-1820.824744,3647.649488,0.168465644,1,0.681479054
,Group,Variance,PVE,,,
1,Family:Population,0.165737606,0.047644737,,,
2,Population,0.019619771,0.005640113,,,
3,Residual,3.293255685,0.94671515,,,
