"npar","logLik","AIC","LRT","Df","Pr(>Chisq)"
"<none>",4,-3460.64599569692,6929.29199139384,NA,NA,NA
"(1 | Family:Population)",3,-3467.60406155212,6941.20812310424,13.9161317103935,1,0.000191150835771234
"(1 | Population)",3,-3460.81071076588,6927.62142153176,0.329430137919189,1,0.565994836326353
"Group","Variance","PVE"
"1","Family:Population",17.7072652555836,0.10939315729933
"2","Population",1.64514939397486,0.010163516716916
"3","Residual",142.515710311234,0.880443325983754
