"","Row","Column","Block","Population","Family","Replicate","Alive_DC1","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pod1_collected_20200927","Remaining_pods_collected","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered2020","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count","mean_poll"
"1",2,39,"2","77","2","2",1,NA,"7/28/2020","7/28/2020",NA,NA,NA,NA,2,2,4.19,2.04,7.61,4.04,9.71,9.71,0,3.32,1.97,7.12,3.89,8.43,8.11,5,NA,NA,NA,NA,NA,NA,NA,2,2.45,2.05,6.85,3.33,7.5,7.86,0,1.8,2.21,6.18,3.34,6.45,5.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",8.5476,6.5404,NA,5.0225,3.978,NA,NA,NA,NA,7.544,4.50025,NA,6.022125,30.7444,27.6968,NA,22.8105,20.6412,NA,NA,NA,NA,29.2206,21.72585,NA,25.473225,94.2841,68.3673,NA,58.95,37.797,NA,NA,NA,NA,81.3257,48.3735,NA,64.8496,32.1149833333333,2,4,1.25
"2",3,34,"2","31","1","3",1,"no follicles this year","7/28/2020","7/28/2020",NA,NA,NA,NA,1,5,4.06,2.06,9.23,4.1,9.85,9.69,3,2.43,1.77,8.81,4.03,7.31,7.25,2,3.12,1.93,9.49,4.21,8.38,8.53,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",8.3636,4.3011,6.0216,NA,NA,NA,NA,NA,NA,6.22876666666667,NA,NA,6.22876666666667,37.843,35.5043,39.9529,NA,NA,NA,NA,NA,NA,37.7667333333333,NA,NA,37.7667333333333,95.4465,52.9975,71.4814,NA,NA,NA,NA,NA,NA,73.3084666666667,NA,NA,73.3084666666667,39.1013222222222,5,5,3
"3",3,40,"2","12","5","3",1,"Inflor 1 only had 1 viable flower; others too withered/old when surveyed on 7/13. I2 also only had 2 viable flowers. When I collected the follicle, it had already lost some seeds to dispersal.","7/13/2020","7/13/2020","7/31/2020","9/27/2020",NA,1,1,7,2.91,2.15,3.6,7.03,7.47,6.94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.57,3.89,4.05,8.86,8.92,8.89,2,2.55,2.96,3.34,9.42,9.62,8.78,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.2565,NA,NA,9.9973,7.548,NA,NA,NA,NA,6.2565,8.77265,NA,7.514575,25.308,NA,NA,35.883,31.4628,NA,NA,NA,NA,25.308,33.6729,NA,29.49045,51.8418,NA,NA,79.2988,84.4636,NA,NA,NA,NA,51.8418,81.8812,NA,66.8615,34.622175,5,10,2
"4",4,33,"2","4","3","2",1,NA,"7/28/2020","8/5/2020","8/21/2020","9/27/2020",NA,11,4,21,2.84,2.36,8.38,4.33,7.64,7.59,1,2.9,2.29,7.96,3.75,7.8,7.71,0,2.63,2.15,5.34,3.91,7.17,7.04,0,28,2.83,2.46,6.99,4.7,7.8,8.25,1,3.04,2.42,6.07,4.45,7.41,7.76,0,2.78,2.38,8.35,4.1,7.91,7.63,2,20,2.9,2.41,7.23,4.34,8.46,7.99,2,2.62,2.22,7.83,3.81,7.85,8.07,0,3.47,2.58,8.75,3.94,8.65,8.21,3,"1",6.7024,6.641,5.6545,6.9618,7.3568,6.6164,6.989,5.8164,8.9526,6.33263333333333,6.97833333333333,7.25266666666667,6.85454444444444,36.2854,29.85,20.8794,32.853,27.0115,34.235,31.3782,29.8323,34.475,29.0049333333333,31.3665,31.8951666666667,30.7555333333333,57.9876,60.138,50.4768,64.35,57.5016,60.3533,67.5954,63.3495,71.0165,56.2008,60.7349666666667,67.3204666666667,61.4187444444444,33.0096074074074,23,69,1
"5",4,36,"2","7","5","5",1,NA,"7/24/2020","8/5/2020","8/18/2020","9/30/2020","10/3/2020",25,9,47,3.32,2.37,10.18,4.29,9.72,9.75,0,4.28,2.34,10.35,3.81,10.84,10.89,1,4.44,2.54,10.03,4.14,10.96,10.53,0,49,3.5,2.35,10.11,3.78,9.73,9.37,4,3.51,2.08,9.85,3.7,10.03,9.52,4,2.75,2.2,9.21,4.13,8.75,7.86,2,39,3.32,2.51,10.08,4.13,9.14,9.68,1,3.4,2.42,9.54,3.95,10.01,9.91,2,3.47,2.43,10.33,4.01,9.8,10.08,0,"1",7.8684,10.0152,11.2776,8.225,7.3008,6.05,8.3332,8.228,8.4321,9.7204,7.19193333333333,8.3311,8.41447777777778,43.6722,39.4335,41.5242,38.2158,36.445,38.0373,41.6304,37.683,41.4233,41.5433,37.5660333333333,40.2455666666667,39.7849666666667,94.77,118.0476,115.4088,91.1701,95.4856,68.775,88.4752,99.1991,98.784,109.4088,85.1435666666667,95.4861,96.6794888888889,48.2929777777778,45,135,1.55555555555556
"6",5,7,"1","11","1","2",1,NA,"7/14/2020","7/21/2020","8/8/2020","9/27/2020","9/30/2020",5,2,32,2.98,1.86,9.22,3.65,7.79,8.35,3,2.77,1.7,8.86,3.63,8.82,8.67,5,2.56,2.12,8.61,3.37,7.35,7.71,3,36,3.51,1.99,7.27,2.38,7,6.23,5,3.49,2.03,8.45,4.57,8.36,9.01,4,2.64,1.85,8.56,3.88,8.22,7.77,4,35,3.05,1.88,8.93,3.82,8.13,9.06,5,3.39,1.58,8.96,4.13,8.23,8.41,4,3.31,1.91,9.21,3.94,8.55,8.66,4,"1",5.5428,4.709,5.4272,6.9849,7.0847,4.884,5.734,5.3562,6.3221,5.22633333333333,6.31786666666667,5.8041,5.78276666666667,33.653,32.1618,29.0157,17.3026,38.6165,33.2128,34.1126,37.0048,36.2874,31.6101666666667,29.7106333333333,35.8016,32.3741333333333,65.0465,76.4694,56.6685,43.61,75.3236,63.8694,73.6578,69.2143,74.043,66.0614666666667,60.9343333333333,72.3050333333333,66.4336111111111,34.8635037037037,34.3333333333333,103,4.11111111111111
"7",5,18,"1","46","5","3",1,NA,"7/28/2020","7/31/2020","8/18/2020","9/27/2020","9/30/2020",5,2,36,3.64,2.01,9.32,3.7,8.71,8.78,5,2.55,2.02,8.38,3.29,8.05,7.47,5,3.27,2.04,7.36,3.58,8.22,8.27,2,34,3.13,2.36,8.04,3.85,8.83,8.75,3,3.94,2.03,8.61,3.53,9.13,8.85,4,3.78,2.16,9,3.79,9.05,8.93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.3164,5.151,6.6708,7.3868,7.9982,8.1648,NA,NA,NA,6.3794,7.84993333333333,NA,7.11466666666667,34.484,27.5702,26.3488,30.954,30.3933,34.11,NA,NA,NA,29.4676666666667,31.8191,NA,30.6433833333333,76.4738,60.1335,67.9794,77.2625,80.8005,80.8165,NA,NA,NA,68.1955666666667,79.6265,NA,73.9110333333333,37.2230277777778,35,70,3.33333333333333
"8",5,39,"2","77","5","1",1,"Two pods had already dispersed all seeds upon collection on Sept 30. Collected empty follicles anyway.","7/13/2020","8/5/2020","8/5/2020","9/27/2020","9/30/2020",28,10,33,2.41,4.79,3.67,8.98,10.82,10.84,0,2.49,4.43,3.64,9.61,10.21,10.71,1,4.48,2.42,4.15,9.22,10.55,10.56,0,38,3.77,1.85,8.99,3.2,8.92,11.26,2,4.16,2.12,9.87,3.2,9.87,9.99,1,3.6,2.18,9.11,3.02,9.42,10.09,3,43,3.93,2.6,8.81,2.68,9.33,9.73,3,3.37,1.88,7.56,3.03,9.61,9.15,4,3.12,1.75,7.82,2.92,9.42,9.5,3,"1",11.5439,11.0307,10.8416,6.9745,8.8192,7.848,10.218,6.3356,5.46,11.1387333333333,7.88056666666667,7.33786666666667,8.78572222222222,32.9566,34.9804,38.263,28.768,31.584,27.5122,23.6108,22.9068,22.8344,35.4,29.2880666666667,23.1173333333333,29.2684666666667,117.2888,109.3491,111.408,100.4392,98.6013,95.0478,90.7809,87.9315,89.49,112.681966666667,98.0294333333333,89.4008,100.0374,46.0305296296296,38,114,1.88888888888889
"9",6,26,"2","1","1","3",1,NA,"8/5/2020","8/5/2020","8/28/2020","9/30/2020",NA,1,2,26,3,2.03,9.18,3.88,8.53,8.58,4,2.72,2.06,7.68,3.75,7.82,7.69,0,2.39,2.06,9.37,3.88,7.64,7.62,1,16,2.99,2.07,9.01,3.8,7.81,8.06,2,3.29,2.09,8.7,3.81,8.31,8.37,5,2.6,2.08,8.34,3.99,7.1,7.04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.09,5.6032,4.9234,6.1893,6.8761,5.408,NA,NA,NA,5.53886666666667,6.1578,NA,5.84833333333333,35.6184,28.8,36.3556,34.238,33.147,33.2766,NA,NA,NA,33.5913333333333,33.5538666666667,NA,33.5726,73.1874,60.1358,58.2168,62.9486,69.5547,49.984,NA,NA,NA,63.8466666666667,60.8291,NA,62.3378833333333,33.9196055555555,21,42,2.33333333333333
"10",6,35,"2","1","3","4",1,NA,"8/5/2020","8/5/2020","8/25/2020","9/30/2020",NA,5,3,18,2.61,2.07,6.53,3.83,9.61,9.4,3,3.17,2.32,5.74,4.09,8.81,8.77,1,2.79,2.18,5.14,4.17,8,7.97,1,22,3.26,2.08,6.37,3.99,8.86,8.97,1,3.2,2.33,4.38,4.15,9.11,9.01,2,3.49,2.31,6.93,4.37,9.16,9.01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.4027,7.3544,6.0822,6.7808,7.456,8.0619,NA,NA,NA,6.27976666666667,7.4329,NA,6.85633333333333,25.0099,23.4766,21.4338,25.4163,18.177,30.2841,NA,NA,NA,23.3067666666667,24.6258,NA,23.9662833333333,90.334,77.2637,63.76,79.4742,82.0811,82.5316,NA,NA,NA,77.1192333333333,81.3623,NA,79.2407666666667,36.6877944444444,20,40,1.66666666666667
