,Response,Sites,Predictor,X²,p,Significance,AIC,,Response,Sites,Predictor,X²,p,Significance,AIC
1,Weevil scar length (binary),Urban Only,Distance to City Center,0.131,0.718,,837.096,,Weevil scar length (binary),Urban Only,Distance to City Center,0.131,0.718,,837.096
1,,Urban Only,Subtransect,0.066,0.798,,837.096,,,Urban Only,Subtransect,0.066,0.798,,837.096
1,Weevil scar length ,Urban Only,Distance to City Center,0.145,0.703,,992.242,,Weevil scar length ,Urban Only,Distance to City Center,0.145,0.703,,992.242
1,,Urban Only,Subtransect,4.862,0.027,*,992.242,,,Urban Only,Subtransect,4.862,0.027,*,992.242
1,,Urban Only,Distance to City Center:Subtransect,0.179,0.672,,992.242,,,Urban Only,Distance to City Center:Subtransect,0.179,0.672,,992.242
1,Weevil scar length ,Urban Only,Distance to City Center,0.145,0.703,,990.421,,Weevil scar length ,Urban Only,Distance to City Center,0.145,0.703,,990.421
1,,Urban Only,Subtransect,4.86,0.027,*,990.421,,,Urban Only,Subtransect,4.86,0.027,*,990.421
2,Weevil scar length (binary),Urban Only,Urbanization Score,0.533,0.465,,837.467,,Weevil scar length (binary),Urban Only,Urbanization Score,0.533,0.465,,837.467
2,,Urban Only,Subtransect,0.005,0.944,,837.467,,,Urban Only,Subtransect,0.005,0.944,,837.467
2,,Urban Only,Urbanization Score:Subtransect,1.217,0.27,,837.467,,,Urban Only,Urbanization Score:Subtransect,1.217,0.27,,837.467
2,Weevil scar length (binary),Urban Only,Urbanization Score,0.521,0.47,,836.695,,Weevil scar length (binary),Urban Only,Urbanization Score,0.521,0.47,,836.695
2,,Urban Only,Subtransect,0.005,0.943,,836.695,,,Urban Only,Subtransect,0.005,0.943,,836.695
2,Weevil scar length ,Urban Only,Urbanization Score,0.327,0.567,,991.903,,Weevil scar length ,Urban Only,Urbanization Score,0.327,0.567,,991.903
2,,Urban Only,Subtransect,5.43,0.02,*,991.903,,,Urban Only,Subtransect,5.43,0.02,*,991.903
2,,Urban Only,Urbanization Score:Subtransect,0.337,0.562,,991.903,,,Urban Only,Urbanization Score:Subtransect,0.337,0.562,,991.903
2,Weevil scar length ,Urban Only,Urbanization Score,0.327,0.567,,990.24,,Weevil scar length ,Urban Only,Urbanization Score,0.327,0.567,,990.24
2,,Urban Only,Subtransect,5.424,0.02,*,990.24,,,Urban Only,Subtransect,5.424,0.02,*,990.24
1,July Herbivory (binary),Urban Only,Distance to City Center,4.613,0.032,*,550.605,,July Herbivory (binary),Urban Only,Distance to City Center,4.613,0.032,*,550.605
