"","Model_Name1","Formula","Family"
"43","herb2020_gr_dist_m5","~, (Herbivory.July_mean_binary), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"44","herb2020_gr_dist_m8","~, log(Herbivory.July_mean), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""gaussian"""
"45","herb2020_gr_usc_m5","~, (Herbivory.July_mean_binary), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"46","herb2020_gr_usc_m8","~, log(Herbivory.July_mean), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""gaussian"""
"47","herb2020_urb_dist_m5","~, (Herbivory.July_mean_binary), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""binomial"""
"48","herb2020_urb_dist_m5_ME","~, (Herbivory.July_mean_binary), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""binomial"""
"49","herb2020_urb_dist_m8","~, log(Herbivory.July_mean), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""gaussian"""
"50","herb2020_urb_dist_m8_ME","~, log(Herbivory.July_mean), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""gaussian"""
"51","herb2020_urb_usc_m5","~, (Herbivory.July_mean_binary), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""binomial"""
"52","herb2020_urb_usc_m5_ME","~, (Herbivory.July_mean_binary), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""binomial"""
"53","herb2020_urb_usc_m8","~, log(Herbivory.July_mean), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""gaussian"""
"54","herb2020_urb_usc_m8_ME","~, log(Herbivory.July_mean), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""gaussian"""
"55","herb2020.S_gr_dist_m5","~, (Herbivory.Sept_mean_binary), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"56","herb2020.S_gr_dist_m12","~, log(Herbivory.Sept_mean), (1 | Population) + City_dist","(family = ""gaussian"""
"57","herb2020.S_gr_usc_m5","~, (Herbivory.Sept_mean_binary), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"58","herb2020.S_gr_usc_m12","~, log(Herbivory.Sept_mean), (1 | Population) + (1 | Block) + Urb_score","(family = ""gaussian"""
"59","herb2020.S_urb_dist_m5","~, (Herbivory.Sept_mean_binary), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""binomial"""
"60","herb2020.S_urb_dist_m5_ME","~, (Herbivory.Sept_mean_binary), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""binomial"""
"61","herb2020.S_urb_dist_m12","~, log(Herbivory.Sept_mean), (1 | Population/Family) + City_dist * Transect_ID","(family = ""gaussian"""
"62","herb2020.S_urb_dist_m12_ME","~, log(Herbivory.Sept_mean), (1 | Population/Family) + City_dist + Transect_ID","(family = ""gaussian"""
"63","herb2020.S_urb_usc_m5","~, (Herbivory.Sept_mean_binary), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""binomial"""
"64","herb2020.S_urb_usc_m5_ME","~, (Herbivory.Sept_mean_binary), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""binomial"""
"65","herb2020.S_urb_usc_m12","~, log(Herbivory.Sept_mean), (1 | Population/Family) + Urb_score * Transect_ID","(family = ""gaussian"""
"66","herb2020.S_urb_usc_m12_ME","~, log(Herbivory.Sept_mean), (1 | Population/Family) + Urb_score + Transect_ID","(family = ""gaussian"""
"67","rgr_gr_city_m6","~, (rel_growth_rate_binary), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"68","rgr_gr_city_m8","~, sqrt(rel_growth_rate), (1 | Block) + (1 | Population/Family) + City_dist","(family = ""gaussian"""
"69","rgr_gr_usc_m6","~, (rel_growth_rate_binary), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"70","rgr_gr_usc_m8","~, sqrt(rel_growth_rate), (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""gaussian"""
"71","rgr_urbsubs_city_m5","~, (rel_growth_rate_binary), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""binomial"""
"72","rgr_urbsubs_city_m5_ME","~, (rel_growth_rate_binary), (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""binomial"""
"73","rgr_urbsubs_city_m8","~, sqrt(rel_growth_rate), (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""gaussian"""
"74","rgr_urbsubs_city_m8_ME.1","~, sqrt(rel_growth_rate), (1 | Population/Family) + City_dist + Transect_ID","(family = ""gaussian"""
"75","rgr_urbsubs_usc_m5","~, (rel_growth_rate_binary), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""binomial"""
"76","rgr_urbsubs_usc_m5_ME","~, (rel_growth_rate_binary), (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""binomial"""
"77","rgr_urbsubs_usc_m8","~, sqrt(rel_growth_rate), (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""gaussian"""
"78","rgr_urbsubs_usc_m8_ME.1","~, sqrt(rel_growth_rate), (1 | Population/Family) + Urb_score + Transect_ID","(family = ""gaussian"""
"79","rametsJ_gr_city_m2","~, Ramets_June, (1 | Block) + (1 | Population/Family) + City_dist + (1 | ID)","(family = ""poisson"""
"80","rametsJ_gr_usc_m2","~, Ramets_June, (1 | Block) + (1 | Population/Family) + Urb_score + (1 | ID)","(family = ""poisson"""
"81","rametsJ_urbsubs_city_m1","~, Ramets_June, (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""poisson"""
"82","rametsJ_urbsubs_city_m1_ME","~, Ramets_June, (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""poisson"""
"83","rametsJ_urbsubs_urbsubs_m7","~, Ramets_June, (1 | Block) + (1 | Population/Family) + (1 | ID) + Urb_score * Transect_ID","(family = ""poisson"""
"84","rametsJ_urbsubs_urbsubs_m7_ME","~, Ramets_June, (1 | Block) + (1 | Population/Family) + (1 | ID) + Urb_score + Transect_ID","(family = ""poisson"""
"85","rametsS_gr_city_m5","~, Ramets_Sept, (1 | Population/Family) + City_dist","(family = ""poisson"""
"86","rametsS_gr_usc_m5","~, Ramets_Sept, (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""poisson"""
"87","rametsS_urbsubs_city_m5","~, Ramets_Sept, (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""poisson"""
"88","rametsS_urbsubs_city_m5_ME","~, Ramets_Sept, (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""poisson"""
"89","rametsS_urbsubs_usc_m5","~, Ramets_Sept, (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""poisson"""
"90","rametsS_urbsubs_usc_m5_ME","~, Ramets_Sept, (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""poisson"""
"91","surv20_gr_city_m1","~, dead_2020, (1 | Block) + (1 | Population/Family) + City_dist","(family = ""binomial"""
"92","surv20_gr_usc_m1","~, dead_2020, (1 | Block) + (1 | Population/Family) + Urb_score","(family = ""binomial"""
"93","surv20_urbsubs_city_m1","~, dead_2020, (1 | Block) + (1 | Population/Family) + City_dist * Transect_ID","(family = ""binomial"""
"94","surv20_urbsubs_city_m1_ME","~, dead_2020, (1 | Block) + (1 | Population/Family) + City_dist + Transect_ID","(family = ""binomial"""
"95","surv20_urbsubs_usc_m1","~, dead_2020, (1 | Block) + (1 | Population/Family) + Urb_score * Transect_ID","(family = ""binomial"""
"96","surv20_urbsubs_usc_m1_ME","~, dead_2020, (1 | Block) + (1 | Population/Family) + Urb_score + Transect_ID","(family = ""binomial"""
