,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-3400.938904,6809.877809,NA,NA,NA
(1 | Family:Population),3,-3403.567304,6813.134607,5.256798341,1,0.021861199
(1 | Population),3,-3400.938904,6807.877809,8.39E-10,1,0.999976895
,Group,Variance,PVE,,,
1,Family:Population,459.8958229,0.077406467,,,
2,Population,0,0,,,
3,Residual,5481.414224,0.922593533,,,
,Chisq,Df,Pr(>Chisq),,,
Transect_ID,8.0670226,1,0.004507813,,,
