,npar,logLik,AIC,LRT,Df,Pr(>Chisq)
<none>,4,-4996.58971,10001.17942,NA,NA,NA
(1 | Family:Population),3,-5000.715083,10007.43017,8.250744764,1,0.004073528
(1 | Population),3,-4996.623808,9999.247616,0.068194876,1,0.7939834
,Group,Variance,PVE,,,
1,Family:Population,451.2038182,0.084084922,,,
2,Population,24.22284422,0.004514093,,,
3,Residual,4890.622389,0.911400985,,,
